id,algorithm,curve,digest,signature_r,signature_s,private_key,public_key_x,public_key_y,nonce_point_x,nonce_point_y,duration,duration_extra,return_code
0,001c,0003,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,5de1fecfe25b985c93a9a965116a9f910fd94532b7b8a11966cc16fcdc5f3ab4,cefa9fdd349b0f0909497e71b35a43d213232ebb03427ae714398b44cd53c96a,ed918c1afde779a8ef35ae012bfc58da5bbee840ef93dd60ad154cc9628b9cca,5a59852765a012cb4cafdfb15b0a66dede937743f520cf1908dc67cbcdd07dcb,40f81bcf81e7b4fff5ecba96c1bed6907002fb3e5772daa7d04b4c2029990697,,,0.005002870,0.000000000,0000
1,001c,0003,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,d9043f6d85e319b18c7aab91522c3993e77df01dd257ad1f2b7e8cc9cce91ff8,b99fce23820699cfdbd475fcfd5c9011293b9e0f30e948de2ae63f70afe4b3bd,ed918c1afde779a8ef35ae012bfc58da5bbee840ef93dd60ad154cc9628b9cca,5a59852765a012cb4cafdfb15b0a66dede937743f520cf1908dc67cbcdd07dcb,40f81bcf81e7b4fff5ecba96c1bed6907002fb3e5772daa7d04b4c2029990697,,,0.004990718,0.000000000,0000
2,001c,0003,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,d7f87738a70c0aa124a3b211c9c80e3c4dc2a049f279e59d36807a98bcd249aa,3064d53cf1d693350c86d18c755be3a932a88aa238884c63b2b3c2887df09b84,ed918c1afde779a8ef35ae012bfc58da5bbee840ef93dd60ad154cc9628b9cca,5a59852765a012cb4cafdfb15b0a66dede937743f520cf1908dc67cbcdd07dcb,40f81bcf81e7b4fff5ecba96c1bed6907002fb3e5772daa7d04b4c2029990697,,,0.004992674,0.000000000,0000
3,001c,0003,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,4103ddd853270dc742215758be359732ee1803bcda5d3b0aca086045d62a06f3,900a267a9add2c6795cc8c7ee7ea7cd5b2b2922a1b023bf5d78dee3c367a99f0,ed918c1afde779a8ef35ae012bfc58da5bbee840ef93dd60ad154cc9628b9cca,5a59852765a012cb4cafdfb15b0a66dede937743f520cf1908dc67cbcdd07dcb,40f81bcf81e7b4fff5ecba96c1bed6907002fb3e5772daa7d04b4c2029990697,,,0.004992814,0.000000000,0000
4,001c,0003,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,86ab202312765933585c9a5b4da96a79debecf9b4b2e8fe70c0b6beab9efdd89,150b8483e6ca3f8510477d62254f16c6caf865fcc73b76fc57b35f0cf755cc94,ed918c1afde779a8ef35ae012bfc58da5bbee840ef93dd60ad154cc9628b9cca,5a59852765a012cb4cafdfb15b0a66dede937743f520cf1908dc67cbcdd07dcb,40f81bcf81e7b4fff5ecba96c1bed6907002fb3e5772daa7d04b4c2029990697,,,0.004993023,0.000000000,0000
5,001c,0003,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0ddadb40f3aad7c8b7fb5435d278b5977eb655bc036200a0fdbb40597c93c72b,e2b3e8ecc22bfd2e29f5d2192ae9a47abbc72b88f43a22fbb0b3cfcd50e8d293,ed918c1afde779a8ef35ae012bfc58da5bbee840ef93dd60ad154cc9628b9cca,5a59852765a012cb4cafdfb15b0a66dede937743f520cf1908dc67cbcdd07dcb,40f81bcf81e7b4fff5ecba96c1bed6907002fb3e5772daa7d04b4c2029990697,,,0.004994699,0.000000000,0000
6,001c,0003,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,ff7e92c72e1174ea6b82e54c65310f3c23a10d3e122a949dfc85d5c1dc26861e,ccc7822e62cd8b55359ced25f86d34bc879eddc2b737394879e95cf34c756d56,ed918c1afde779a8ef35ae012bfc58da5bbee840ef93dd60ad154cc9628b9cca,5a59852765a012cb4cafdfb15b0a66dede937743f520cf1908dc67cbcdd07dcb,40f81bcf81e7b4fff5ecba96c1bed6907002fb3e5772daa7d04b4c2029990697,,,0.004993023,0.000000000,0000
7,001c,0003,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,d9eff6e801a47a1b8e322baf104f9adc43f358f234ad30c21bdd6d896364b5e2,7c7aad629cc01a4b9bcee0cedfe2bc0382dbd7ba6498c4d9a2d7dea5c2b7dd56,ed918c1afde779a8ef35ae012bfc58da5bbee840ef93dd60ad154cc9628b9cca,5a59852765a012cb4cafdfb15b0a66dede937743f520cf1908dc67cbcdd07dcb,40f81bcf81e7b4fff5ecba96c1bed6907002fb3e5772daa7d04b4c2029990697,,,0.004988692,0.000000000,0000
8,001c,0003,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,cabc316e2fe819660c143ed6f2774ee1b1aab12b962706da7f62fa0bea1a56d8,a2948980b752e65276406c838c6301b493b1785dbf5eb70af2c1a1577b9cc949,ed918c1afde779a8ef35ae012bfc58da5bbee840ef93dd60ad154cc9628b9cca,5a59852765a012cb4cafdfb15b0a66dede937743f520cf1908dc67cbcdd07dcb,40f81bcf81e7b4fff5ecba96c1bed6907002fb3e5772daa7d04b4c2029990697,,,0.004990648,0.000000000,0000
9,001c,0003,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,767de466f3ce43b16012d954bb5cda357426ec0d5d5b41b0ed1b717eb4bbf35d,fc9064be6ed1bcd58ce76ab0e631161f25c3f8c62f01b3f3173897d728d82d7e,ed918c1afde779a8ef35ae012bfc58da5bbee840ef93dd60ad154cc9628b9cca,5a59852765a012cb4cafdfb15b0a66dede937743f520cf1908dc67cbcdd07dcb,40f81bcf81e7b4fff5ecba96c1bed6907002fb3e5772daa7d04b4c2029990697,,,0.004992604,0.000000000,0000
