id,algorithm,curve,digest,signature_r,signature_s,private_key,public_key_x,public_key_y,nonce_point_x,nonce_point_y,duration,duration_extra,return_code
0,001c,0003,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,683c337834749f518f4eb526ec4d39faafeb6b737c38bee4380cafa76669b2d5,a8405da40c791a4affd78427975548140a744f6dc15c869529e93fed69847f75,cb005ebb176aa63e13f5334ed8319e13b40eb3f79d9a6a0f2517df8f500d29c9,10b0dd72fe2a7e55e5770dc14a79ca6e3f3832612631014a70dd580d9cfe53f3,2afe3178d480006aaf29420f804ea37f98d1e620ddb6614b18ff22f730f2335f,,,0.005014465,0.000000000,0000
1,001c,0003,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,80e22039dde7a9950815da1370f12c20d10a9de9b2f85bcb991d148937929cf0,896a0c615ee100d939a2e2046ba03ca7e8740df476de0456476b0fd6879f74e2,cb005ebb176aa63e13f5334ed8319e13b40eb3f79d9a6a0f2517df8f500d29c9,10b0dd72fe2a7e55e5770dc14a79ca6e3f3832612631014a70dd580d9cfe53f3,2afe3178d480006aaf29420f804ea37f98d1e620ddb6614b18ff22f730f2335f,,,0.004987086,0.000000000,0000
2,001c,0003,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,ed9f09d9d7f3d128de0c7c8f9479fa4cf54f77b82790512a45e5c032d1743054,ed7b455b24edd922b8a358b00137bebaaadb0156dd2f08075b6e703e44e023d6,cb005ebb176aa63e13f5334ed8319e13b40eb3f79d9a6a0f2517df8f500d29c9,10b0dd72fe2a7e55e5770dc14a79ca6e3f3832612631014a70dd580d9cfe53f3,2afe3178d480006aaf29420f804ea37f98d1e620ddb6614b18ff22f730f2335f,,,0.004998541,0.000000000,0000
3,001c,0003,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,004af48d43382ae2922e77fd912ffab9ac4c16e1aaa656829158be0f22b18d67,3d296cd600d1516541fe75c9bb54d1d46d47a3a860d1ace064a87749ef109399,cb005ebb176aa63e13f5334ed8319e13b40eb3f79d9a6a0f2517df8f500d29c9,10b0dd72fe2a7e55e5770dc14a79ca6e3f3832612631014a70dd580d9cfe53f3,2afe3178d480006aaf29420f804ea37f98d1e620ddb6614b18ff22f730f2335f,,,0.004989950,0.000000000,0000
4,001c,0003,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,8605842e07950eac8ac57ddb27b91d9eac62a722ce722931b6041145358d35cd,f423fb6347da31aeb9e29f2a4e396ae842a5235ac36b584b41f41c0f554f16a9,cb005ebb176aa63e13f5334ed8319e13b40eb3f79d9a6a0f2517df8f500d29c9,10b0dd72fe2a7e55e5770dc14a79ca6e3f3832612631014a70dd580d9cfe53f3,2afe3178d480006aaf29420f804ea37f98d1e620ddb6614b18ff22f730f2335f,,,0.004996375,0.000000000,0000
5,001c,0003,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,75dc9db1fdd1ded2de615db41cae27978ca7d57a52b5f4eaaacb6738e4c1fa3b,8b775ce5922af40a465e24ea5e94b8c13ff1df7ccc574cbfacb9cb7cdf84e7b0,cb005ebb176aa63e13f5334ed8319e13b40eb3f79d9a6a0f2517df8f500d29c9,10b0dd72fe2a7e55e5770dc14a79ca6e3f3832612631014a70dd580d9cfe53f3,2afe3178d480006aaf29420f804ea37f98d1e620ddb6614b18ff22f730f2335f,,,0.004984642,0.000000000,0000
6,001c,0003,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,5ae68490460427262866864290e2456d5b8aca10add0dc7f6d4d021722246c28,5e17bbec3c2e156fbee1505b92b61e316c9b42face90bcc0ebb031ece57f6887,cb005ebb176aa63e13f5334ed8319e13b40eb3f79d9a6a0f2517df8f500d29c9,10b0dd72fe2a7e55e5770dc14a79ca6e3f3832612631014a70dd580d9cfe53f3,2afe3178d480006aaf29420f804ea37f98d1e620ddb6614b18ff22f730f2335f,,,0.005007689,0.000000000,0000
7,001c,0003,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,3f921107b11fddb6f92cda4da9c6892140f0a664cc43139cd0b1f4372bf43610,074c1adddd2d0ab78baa2b6f2afa43b76eb27b7ddcc21e247d516b763c7f2b55,cb005ebb176aa63e13f5334ed8319e13b40eb3f79d9a6a0f2517df8f500d29c9,10b0dd72fe2a7e55e5770dc14a79ca6e3f3832612631014a70dd580d9cfe53f3,2afe3178d480006aaf29420f804ea37f98d1e620ddb6614b18ff22f730f2335f,,,0.004992814,0.000000000,0000
8,001c,0003,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,1530a2959323b9983ad392e7c0cdb858f696558b9582ba46a5cbfe98111e68ed,74523fab07da5f09ab102b8dc9e05fd2a348417eb65afc5e6a6d82c7ed1f63b9,cb005ebb176aa63e13f5334ed8319e13b40eb3f79d9a6a0f2517df8f500d29c9,10b0dd72fe2a7e55e5770dc14a79ca6e3f3832612631014a70dd580d9cfe53f3,2afe3178d480006aaf29420f804ea37f98d1e620ddb6614b18ff22f730f2335f,,,0.004988414,0.000000000,0000
9,001c,0003,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,4ce100477619bcfb44bf5e058f13aef920781e8f5d45ba26aa6cf9d42ede69c7,ff6a9d747a805bbca78df33d976a70515e6d5b22631d22457231e24a7e342632,cb005ebb176aa63e13f5334ed8319e13b40eb3f79d9a6a0f2517df8f500d29c9,10b0dd72fe2a7e55e5770dc14a79ca6e3f3832612631014a70dd580d9cfe53f3,2afe3178d480006aaf29420f804ea37f98d1e620ddb6614b18ff22f730f2335f,,,0.004987295,0.000000000,0000
10,001c,0003,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,fb2cd6d00a2fe3cab0d9737d2c728307e16fe06a577a13d0df3f2944348ca9fb,d624442764ad0dfa2e91e889b3c307e0b9616e1e54ef5be001835431052e59e3,cb005ebb176aa63e13f5334ed8319e13b40eb3f79d9a6a0f2517df8f500d29c9,10b0dd72fe2a7e55e5770dc14a79ca6e3f3832612631014a70dd580d9cfe53f3,2afe3178d480006aaf29420f804ea37f98d1e620ddb6614b18ff22f730f2335f,,,0.004999379,0.000000000,0000
11,001c,0003,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,33ae9e15ac5a308f01fa7347c75ca5b3b01cd312574a80c4c29c28a076b2056b,d6e147b9352fea65fad7244627732fc7b3ffc7bfd4ba6dc866e65460e8a47a7e,cb005ebb176aa63e13f5334ed8319e13b40eb3f79d9a6a0f2517df8f500d29c9,10b0dd72fe2a7e55e5770dc14a79ca6e3f3832612631014a70dd580d9cfe53f3,2afe3178d480006aaf29420f804ea37f98d1e620ddb6614b18ff22f730f2335f,,,0.004991137,0.000000000,0000
12,001c,0003,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,13ec9cc4f71a68c492219bce5c011e41cb0652dff04b67cfd48f7339315b96e2,fb38afe69a3bb6d7b73e3090994d6fe091fc6b6600a5a2536ba30639857f13fa,cb005ebb176aa63e13f5334ed8319e13b40eb3f79d9a6a0f2517df8f500d29c9,10b0dd72fe2a7e55e5770dc14a79ca6e3f3832612631014a70dd580d9cfe53f3,2afe3178d480006aaf29420f804ea37f98d1e620ddb6614b18ff22f730f2335f,,,0.004999029,0.000000000,0000
13,001c,0003,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,8a9a7d89f833963dcaa6c5d9e79603275e86b96fa2355f57c23e1ced4f0c95a3,54e63fd511eaf150dd1aae2c37a2cbac34ff29359526ade189277d8a94adcdee,cb005ebb176aa63e13f5334ed8319e13b40eb3f79d9a6a0f2517df8f500d29c9,10b0dd72fe2a7e55e5770dc14a79ca6e3f3832612631014a70dd580d9cfe53f3,2afe3178d480006aaf29420f804ea37f98d1e620ddb6614b18ff22f730f2335f,,,0.004993302,0.000000000,0000
14,001c,0003,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,ec5bfbc7e2f2694f1781057d2f58407987c03f8e509a74e089798814fb24a958,d8ba52199962928545db295d94c3f414c67b909ab5113b87ba7e01d9454cca65,cb005ebb176aa63e13f5334ed8319e13b40eb3f79d9a6a0f2517df8f500d29c9,10b0dd72fe2a7e55e5770dc14a79ca6e3f3832612631014a70dd580d9cfe53f3,2afe3178d480006aaf29420f804ea37f98d1e620ddb6614b18ff22f730f2335f,,,0.004987156,0.000000000,0000
15,001c,0003,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,3c65c6e06b9865ddd14d422021fd16497a398ad4206da385ee72ce4d3f441d28,98d098f3ad32f5760344bbd16579cbfeaaefaa6366f122c13ca6378df3d9dce8,cb005ebb176aa63e13f5334ed8319e13b40eb3f79d9a6a0f2517df8f500d29c9,10b0dd72fe2a7e55e5770dc14a79ca6e3f3832612631014a70dd580d9cfe53f3,2afe3178d480006aaf29420f804ea37f98d1e620ddb6614b18ff22f730f2335f,,,0.004998819,0.000000000,0000
16,001c,0003,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,1e99b9a6ab48ae223b83e40d11f6615854399c934e45d34207030c6fee4d8956,f3c1d87c19ca57d1b136f7fa0ac6aa838c9cf9974e63f45b2669ae46f18a5831,cb005ebb176aa63e13f5334ed8319e13b40eb3f79d9a6a0f2517df8f500d29c9,10b0dd72fe2a7e55e5770dc14a79ca6e3f3832612631014a70dd580d9cfe53f3,2afe3178d480006aaf29420f804ea37f98d1e620ddb6614b18ff22f730f2335f,,,0.004997144,0.000000000,0000
17,001c,0003,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e967e72da38b48704ac59d286ee37a4a4897273ab91aad3a959cb49f2309e356,5e109182fd034b57778aa007dec15819f244a473bbe8369aadd9b03cdb1cbc33,cb005ebb176aa63e13f5334ed8319e13b40eb3f79d9a6a0f2517df8f500d29c9,10b0dd72fe2a7e55e5770dc14a79ca6e3f3832612631014a70dd580d9cfe53f3,2afe3178d480006aaf29420f804ea37f98d1e620ddb6614b18ff22f730f2335f,,,0.004992813,0.000000000,0000
18,001c,0003,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,904d5cca9baad700d2bbbd809a79e1ddf88f2dcb0485694275ce4954b00a409a,f5ce25329ef11694ef9d9d09b752503e9582f5e56628467b125560af4662d6b2,cb005ebb176aa63e13f5334ed8319e13b40eb3f79d9a6a0f2517df8f500d29c9,10b0dd72fe2a7e55e5770dc14a79ca6e3f3832612631014a70dd580d9cfe53f3,2afe3178d480006aaf29420f804ea37f98d1e620ddb6614b18ff22f730f2335f,,,0.004991836,0.000000000,0000
19,001c,0003,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,931cdcb759261628b49d8c7f3b640ba0dbd3271b7a07a43eb5df617f577f3744,81fcb4da77ca3ae30b3bcefbe4d199cd218c70c5e515011d234e066c96d30e1c,cb005ebb176aa63e13f5334ed8319e13b40eb3f79d9a6a0f2517df8f500d29c9,10b0dd72fe2a7e55e5770dc14a79ca6e3f3832612631014a70dd580d9cfe53f3,2afe3178d480006aaf29420f804ea37f98d1e620ddb6614b18ff22f730f2335f,,,0.004996795,0.000000000,0000
20,001c,0003,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0ccb2b2f2d19417134a54cac88b30f3583c210c1fafb5519fdef71d3de70bb5b,41435809266ede1583379a273de63a0fc497bef23c45b9a60cdb201cbf056ff8,cb005ebb176aa63e13f5334ed8319e13b40eb3f79d9a6a0f2517df8f500d29c9,10b0dd72fe2a7e55e5770dc14a79ca6e3f3832612631014a70dd580d9cfe53f3,2afe3178d480006aaf29420f804ea37f98d1e620ddb6614b18ff22f730f2335f,,,0.004995258,0.000000000,0000
