id,algorithm,curve,digest,signature_r,signature_s,private_key,public_key_x,public_key_y,nonce_point_x,nonce_point_y,duration,duration_extra,return_code
0,001a,0003,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,ca94446422d2a25ed98a9a7f8f3e678ae4f8fc3a20a5cb948b063e4c8f533ff4,59bcfa1a73d3a3d4ceb612ef1baf336941e65df135a7af1342e0d7c1e884df95,42880932f1b4142ca01be5dcd24a532174fe7b174198368d4c676f1dc42a15f4,fdb7380537f35498a5be20d5d1ae6c63fd513cbdbc8bca77b87009b171590f9e,bb8d9bddaa03200f1a827824e26fdd9a2c5accaa051cb958b180a74f774d6429,cb31293692e799d77156a4a0b95ef6d98f584d4fc34d2bedb24149b779e23529,e35e70f467419b0e68b67bc47a095c0a5d4c80c113ccf232350a432850e39b7b,0.040160377,0.079119054,0000
1,001a,0003,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0439ec363bcecd53a54942b75e00ce013e048ba1dcfc1e2eee1d879b09b15656,88288f448342b71f5778d890f0a4a4641c8b83afe97249c7caf81909d41d6177,42880932f1b4142ca01be5dcd24a532174fe7b174198368d4c676f1dc42a15f4,fdb7380537f35498a5be20d5d1ae6c63fd513cbdbc8bca77b87009b171590f9e,bb8d9bddaa03200f1a827824e26fdd9a2c5accaa051cb958b180a74f774d6429,95726de6306547af1a64a1d45a5f6b453c1b1546f9e75439613e25edc0066f05,9be71c16800beeaccae8ef940ca4055422434935a61f8636471f288bd49b6aeb,0.040709663,0.079291959,0000
2,001a,0003,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,9c7e62e4eb349a999e0f0dbd1e6c3c5b5a809423524f87ae13195bf1557e5f91,b1b13b3e144ec40930081ab6e91758ec16e523c2510b870e6b42c95e901e6b59,42880932f1b4142ca01be5dcd24a532174fe7b174198368d4c676f1dc42a15f4,fdb7380537f35498a5be20d5d1ae6c63fd513cbdbc8bca77b87009b171590f9e,bb8d9bddaa03200f1a827824e26fdd9a2c5accaa051cb958b180a74f774d6429,a718083f25d266c172fd729ef127c2b85a5e1431cd32becef1e05d5407d36d99,94a741caff10733be9d6506ac40c6db7be5e2abfd4284f759fadd56e4a03278c,0.041001811,0.078954001,0000
3,001a,0003,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,b9e816cc39c25e873208f80e035bab24a68faa2cec322b41bbaebb5293373a67,a114d0b4e89a7fbdef1f1e5d0fb0a19485dd7b75d4496179d3d654ae9b880c2f,42880932f1b4142ca01be5dcd24a532174fe7b174198368d4c676f1dc42a15f4,fdb7380537f35498a5be20d5d1ae6c63fd513cbdbc8bca77b87009b171590f9e,bb8d9bddaa03200f1a827824e26fdd9a2c5accaa051cb958b180a74f774d6429,244ce09fd515a9f1fbb038816b692900a0b5b2b52557d6e7616e6923e654a1c4,c324350b38d0c01e5538355f619eaf614f36d67e08c812e00d2376aec55488c4,0.040870297,0.078956709,0000
4,001a,0003,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,c3fb64a781545f0941e5683923554a1790a4d34d5bb7a0f41520366da1e9026a,26359ff322b6647630b73d7145b1430f452ed75c975e1128669ab88c1301daba,42880932f1b4142ca01be5dcd24a532174fe7b174198368d4c676f1dc42a15f4,fdb7380537f35498a5be20d5d1ae6c63fd513cbdbc8bca77b87009b171590f9e,bb8d9bddaa03200f1a827824e26fdd9a2c5accaa051cb958b180a74f774d6429,76c4102380b1f669af4f821987e19ff48311e026ec01f480684f39e334850863,5da75f38cf11c9fbdddb81c00fbc0da473d092dace938870e163ca2387178edc,0.040960615,0.079118054,0000
5,001a,0003,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,49f69904f77d215a2a06222ce2019c704fb27264cb048dabc2c3ed0b03cb16f6,7e459a2579aa41cc0cea4c57b68170f16d8934a0d7bd1568e4af1e77ba7a0c4b,42880932f1b4142ca01be5dcd24a532174fe7b174198368d4c676f1dc42a15f4,fdb7380537f35498a5be20d5d1ae6c63fd513cbdbc8bca77b87009b171590f9e,bb8d9bddaa03200f1a827824e26fdd9a2c5accaa051cb958b180a74f774d6429,327273434c46e9862014951001eae3d1808c8d4758621dae9b308689c485b7de,e234ed8b8e3f71644a5eb7d20f7f8d9e0e93e612930b1e7da71a6727fb27d601,0.040932262,0.079031512,0000
6,001a,0003,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,c003dabe1a3a072d301c271c20d76e7ffcfdd7507f68fc365f14827fa91a503d,1ee028bc40e7f5063816e8c921681fd4e6e92f4b30273809a6f02418a4b88a08,42880932f1b4142ca01be5dcd24a532174fe7b174198368d4c676f1dc42a15f4,fdb7380537f35498a5be20d5d1ae6c63fd513cbdbc8bca77b87009b171590f9e,bb8d9bddaa03200f1a827824e26fdd9a2c5accaa051cb958b180a74f774d6429,1b096e1863f93bd42570b5ffa25c9b02ccd7e97115d2bc39e1497e69c211a27e,ccfbea9c5fe005847c3032ea59d1bfadfa8da013c0e93bfe9a630be67b15825c,0.041030325,0.078991789,0000
7,001a,0003,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e730c21d00b4c32b916830bd57f0500fc6ce00783d09fb41ced04a26cf1f15b4,dfa101665287083e6fdfb596c294fa29e98c77df12ce021974ad82179b8be779,42880932f1b4142ca01be5dcd24a532174fe7b174198368d4c676f1dc42a15f4,fdb7380537f35498a5be20d5d1ae6c63fd513cbdbc8bca77b87009b171590f9e,bb8d9bddaa03200f1a827824e26fdd9a2c5accaa051cb958b180a74f774d6429,2099bad6966231630afd9f0708e57df833e86fb97359a653615fd32b4ac793ae,f8a6acf3cf46abc8d37cf7454265db075ce6cee825d0c8230a830182b0d8637e,0.040110108,0.079825999,0000
8,001a,0003,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,379c4f771c4c21b4b20a95e265a9a72d5ebb57c988b2067bc76b18d024a15056,c5b64d9c361a61cf711d8c7dbd89cd8d56d24a250b0f8027fae428a90db8bc5d,42880932f1b4142ca01be5dcd24a532174fe7b174198368d4c676f1dc42a15f4,fdb7380537f35498a5be20d5d1ae6c63fd513cbdbc8bca77b87009b171590f9e,bb8d9bddaa03200f1a827824e26fdd9a2c5accaa051cb958b180a74f774d6429,96989f1385fae0b69b6747d06dcad2ec9e8a8a2eae933fc1b12b5f46f65d9c9d,125592ebfce6010fbdfe0bd86387f14432173616cb544b67e1698d4fc9cb02b8,0.040226691,0.079011627,0000
9,001a,0003,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,738c221954ee1dda42f1e760617619a2b533f3f440b582f143eeb4290561bfaf,4d78d774dc36d7a1a6573a87315d0e5ad0dbd51a21389f88fe15791b77d4ddef,42880932f1b4142ca01be5dcd24a532174fe7b174198368d4c676f1dc42a15f4,fdb7380537f35498a5be20d5d1ae6c63fd513cbdbc8bca77b87009b171590f9e,bb8d9bddaa03200f1a827824e26fdd9a2c5accaa051cb958b180a74f774d6429,3bd3cd134ec090ac2f8cd835b14f3aeedc493b4d92427a23c63a9e66b03dcb70,9e6e14e77217c7b6464d3c523a973b35129a48000dd20b94bff7f924f9b38ed6,0.039957531,0.078733727,0000
