id,algorithm,curve,digest,signature_r,signature_s,private_key,public_key_x,public_key_y,nonce_point_x,nonce_point_y,duration,duration_extra,return_code
0,001a,0003,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,a1e859a944e3630fa0783aa695060f156a3967eb7046e03cf9538ed5b417eefa,3ea03b4654cda5dfe62d15a53a3f34789f71fd97e814624aa60851366ff1c68a,3628e4246c751ddf67e936cbffc512ede342e849eac2a4b6d8c70bb0a9c4c492,e3db789b2918586e2825c7b5975c2f3dd10e5e5565c8635c49172d39c0320a1e,6d2250e0f10a7427ec249268d8f3cd69f9bbc05a4f48ff3c4c3186e858857f73,175c6a34db2572484eb0a7ddebdbd61a56f79bebd589befa9554c69e530f0ca5,94d864a8b3307deceea0900ea70558af4be34bf6c3f06622468653512c3cfaf6,0.003872056,0.038656208,0000
1,001a,0003,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,8b3e7a2842900d59da0ce3928f2faa60cd36bc4fcd3226ec6a2a1cf106905f93,c4b164624f1ea9ff34aaac60ba9a36c4f423a25ef24b2b0b797d9dc83c6adf49,3628e4246c751ddf67e936cbffc512ede342e849eac2a4b6d8c70bb0a9c4c492,e3db789b2918586e2825c7b5975c2f3dd10e5e5565c8635c49172d39c0320a1e,6d2250e0f10a7427ec249268d8f3cd69f9bbc05a4f48ff3c4c3186e858857f73,99193326d47e0f6a57496c18c1b85288c6516f52542bfd36ede8b87d55295eef,407ca9cefab4ea290629b4d153759012debb873f3657fcdc19bb608a63985a79,0.004000053,0.038961194,0000
2,001a,0003,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,2ed1ee5389fe74cfee1f49d9e2c5ce726f53a07fe99767de88359dbd2e50f9a8,247915493000f34c1a85c60367a02a2736882f23374de20d688f47fc3e0eb1c0,3628e4246c751ddf67e936cbffc512ede342e849eac2a4b6d8c70bb0a9c4c492,e3db789b2918586e2825c7b5975c2f3dd10e5e5565c8635c49172d39c0320a1e,6d2250e0f10a7427ec249268d8f3cd69f9bbc05a4f48ff3c4c3186e858857f73,97f2d9f19f06646f1883ca99b12c7ac52153d97b2b20f6f9ce82b46d96cf2ae4,2f534d9713289034daaf6c1d59831470bb54ee5124f305794a7dae5f07b84499,0.003859437,0.038116223,0000
3,001a,0003,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,d39b83b462eb94ff4bbe17359d9586e3f9d7209446c9916062a4ab750a4d2e8b,a02587ce4d2dce2bd5869c596de78171135bc5dc9a09db20d06f4f976ec0c395,3628e4246c751ddf67e936cbffc512ede342e849eac2a4b6d8c70bb0a9c4c492,e3db789b2918586e2825c7b5975c2f3dd10e5e5565c8635c49172d39c0320a1e,6d2250e0f10a7427ec249268d8f3cd69f9bbc05a4f48ff3c4c3186e858857f73,a262aa39e589ee6e64d96cee6f3246393fd449d20369098cd6ea7deec1c0907b,0e293dea894da100ef10f52d5c79cfa226f4ded7b82656f07f7bd375e3f1d6d6,0.003861930,0.038113215,0000
4,001a,0003,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,269b97a2d329db9bd665f151a47fd082b85cb212eb762a5ca3a16b14933dee99,36e1e5017f769fbe8bce266ad4ce3e4343f53dc7513baae89093d3964115fc63,3628e4246c751ddf67e936cbffc512ede342e849eac2a4b6d8c70bb0a9c4c492,e3db789b2918586e2825c7b5975c2f3dd10e5e5565c8635c49172d39c0320a1e,6d2250e0f10a7427ec249268d8f3cd69f9bbc05a4f48ff3c4c3186e858857f73,3303ead4e81d8e9243943451786dc86f6b52aa2fbc5d42fa189edf8f525de967,3a40fe68fb41f2f7a20d5905398974b34aadac26d9f27e22dbf6c663ecb6c8c1,0.003954448,0.039005090,0000
5,001a,0003,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,5b9b1e7f9d59328ba0f1ece3f61b9773f2263bca31cbcd94f827976bb76f6309,310f072717b3d25009b2f4c8eceb0b50bec736ee44547d64cc6fbe9aa418284a,3628e4246c751ddf67e936cbffc512ede342e849eac2a4b6d8c70bb0a9c4c492,e3db789b2918586e2825c7b5975c2f3dd10e5e5565c8635c49172d39c0320a1e,6d2250e0f10a7427ec249268d8f3cd69f9bbc05a4f48ff3c4c3186e858857f73,5b0ab4ab74d93208a12a5b5c08eac5272247d9c96d667c616adcd7d4e2a8be49,ad1eab3bdade1bb0fb3a6fc42041e0edeb05fc8a5c303c4884aa9cb0071cbe53,0.003846981,0.039132453,0000
6,001a,0003,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,a3b2c101275e8bbbaf8706dc51e5c1205cc8572be5e9b787efa45e674543289e,17ecef0ef71155413bad0a36d42fd8ea32ba531bc3295a5d6da7b6e0478c730a,3628e4246c751ddf67e936cbffc512ede342e849eac2a4b6d8c70bb0a9c4c492,e3db789b2918586e2825c7b5975c2f3dd10e5e5565c8635c49172d39c0320a1e,6d2250e0f10a7427ec249268d8f3cd69f9bbc05a4f48ff3c4c3186e858857f73,efbd677add10e5db8e397163ed5b21450a7b4fd3d83ac5ac55505aafd72526bb,2a6e65d60b80b922e7d440346669c28e48cbbb33f8a8213a2c475ef6f4907fc2,0.003981864,0.039011565,0000
7,001a,0003,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,334a35e11210bcce545c3f8db8a9944bee5ab3028a8430b22d466f967ea17080,9f065942c7042ba0d6a79992eb43511f336c648da8a1ba133d2f51d9527c5035,3628e4246c751ddf67e936cbffc512ede342e849eac2a4b6d8c70bb0a9c4c492,e3db789b2918586e2825c7b5975c2f3dd10e5e5565c8635c49172d39c0320a1e,6d2250e0f10a7427ec249268d8f3cd69f9bbc05a4f48ff3c4c3186e858857f73,581238fe939ed94ef7989c3991248198893d2b44d9461749e3e6985b30a8615f,7121bd78eb833de25e8f889fbf73e88497739fc9758f4bf8128c931aaa21eec9,0.003858880,0.039108334,0000
8,001a,0003,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,32e21c73f412f2b0fe639b60acffb8053073ea7e936342948b3e02fdf9bc7355,0c6a5ce5f99648876d86a4232f05537d0462391ac10d4bda238585d28eb18483,3628e4246c751ddf67e936cbffc512ede342e849eac2a4b6d8c70bb0a9c4c492,e3db789b2918586e2825c7b5975c2f3dd10e5e5565c8635c49172d39c0320a1e,6d2250e0f10a7427ec249268d8f3cd69f9bbc05a4f48ff3c4c3186e858857f73,096e4a8e84f803c5e53c6b9ff42c56588d5b79bfa616acec6d2d48fc1c675f4f,b800c5ec4768559bf6b5232ddb53d9a7bef6aa60a9ef6ac9de2d8e3be8b46c49,0.003976188,0.039002027,0000
9,001a,0003,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,dfae667dcb856e6f464f388b8d53d3848d037760e17879f1b528abb5bded72aa,8ad0e3b235a6f672bd4d38dea2fe3f95b8fab7f56895bc75445151e2aa16618c,3628e4246c751ddf67e936cbffc512ede342e849eac2a4b6d8c70bb0a9c4c492,e3db789b2918586e2825c7b5975c2f3dd10e5e5565c8635c49172d39c0320a1e,6d2250e0f10a7427ec249268d8f3cd69f9bbc05a4f48ff3c4c3186e858857f73,7803208d0b846ea0ca35280317d4fc0d4eee52d1fb4c4dd49db66f2c708205dd,580a4ffba3a38f70d68028a21a6f726685c68a9329767a9634b2f034e1d5897a,0.022876811,0.039117568,0000
