id,algorithm,curve,digest,signature_r,signature_s,private_key,public_key_x,public_key_y,nonce_point_x,nonce_point_y,duration,duration_extra,return_code
0,001a,0010,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,df21bc32b65433eedd77bb71e269c2f72fdc2be7633a929891a24e18f3aed3bd,a69ea3ae357e4cbcfad020fbb25c75cc851ea81b61974901f8a5fa58cddebf8f,66dbad976f9f8755776aeb1f1eecab7929c1e319a32ba168eee88273a9573652,34931f8fbeabfa1e6516c33bbdd1dfa172b5abb2c9c0c26a85a34e9230e6aefe,2c59628116af3da246ad1148df3306ed622e4bc7c52d02f7518c41db28b05d64,e00a63d1d4ffd0fe55d80be3cbae5d0d846bec241cbfd730b1373c86b1eb9b4b,26b1082aebcc085487a29f62b8dca24a86cfdcfa02e80aea5213d44fd59ce43b,0.003995003,0.120838689,0000
1,001a,0010,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,25cc910adbf8746a9c69e5cb03783148d90582d5c1c75f9349ed5d3e84e8ad9e,ae2eee6e2b3d44c4bf18021c97767fdded0133b7dd41527d9070c0bd15cebcc9,66dbad976f9f8755776aeb1f1eecab7929c1e319a32ba168eee88273a9573652,34931f8fbeabfa1e6516c33bbdd1dfa172b5abb2c9c0c26a85a34e9230e6aefe,2c59628116af3da246ad1148df3306ed622e4bc7c52d02f7518c41db28b05d64,9ab3b52c0a51b792ec5d91b84b17ee8b00c8aa5ddd40596a9b41c0694dbf8c67,4f8c28afe9d3600a6285e0e19a0412f51344d444a4a38de01aa9f409f167595e,0.003872844,0.121095762,0000
2,001a,0010,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,d0c86a87f3d7fd3c3503468838ea36ed31728cb121d84df031ce60d0efda6c3c,5156910b38c118c2a66d0f8ec8acfa77b9dc2c35d522642a4b1999fd1e2ac44e,66dbad976f9f8755776aeb1f1eecab7929c1e319a32ba168eee88273a9573652,34931f8fbeabfa1e6516c33bbdd1dfa172b5abb2c9c0c26a85a34e9230e6aefe,2c59628116af3da246ad1148df3306ed622e4bc7c52d02f7518c41db28b05d64,dec46cad36bb2a7a11fe062cb1d598d6e094a39c8ba6a9939041ff40817e7bb8,e095026d01a0e4fd26795c7dafc05d44bcb4d95b1fb0cb08985421116d587350,0.003973416,0.120987356,0000
3,001a,0010,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,17487da47d6776e3c8d8f4ad34f8e0ed253db7adf5e46331bd98937bfcba4bdd,d81a48f3985c61cbbb00de7d5661d6a492318d517a3456f73605f17d9887a953,66dbad976f9f8755776aeb1f1eecab7929c1e319a32ba168eee88273a9573652,34931f8fbeabfa1e6516c33bbdd1dfa172b5abb2c9c0c26a85a34e9230e6aefe,2c59628116af3da246ad1148df3306ed622e4bc7c52d02f7518c41db28b05d64,58661637f5140e5de43a96b6a8a55f374e0419d3e7807c5568e8e518e46dcb35,19dcd579b9e8d71f3a46c9b48f327735c3da8b5f701782ace01eba6b39ade8ee,0.003978518,0.120942250,0000
4,001a,0010,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,f22407f1c1d9b58f7029f5e2faf6e9f6a24f1af538892a28365c835ef3533a3f,56b42c80c421856f5c6352a96c52bfd4484c1e34e0f3ff889ddf6b66b47946cc,66dbad976f9f8755776aeb1f1eecab7929c1e319a32ba168eee88273a9573652,34931f8fbeabfa1e6516c33bbdd1dfa172b5abb2c9c0c26a85a34e9230e6aefe,2c59628116af3da246ad1148df3306ed622e4bc7c52d02f7518c41db28b05d64,6d57f2ddefae6120d4bc512bdc1d22eef38fb0ab5bb4ea6a638c313d6bdb2e0f,54165561d0457b8cd7f81aa2883c8a6c08923fc232798f3ba4037d18abc58fc9,0.003962930,0.119077118,0000
5,001a,0010,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,c2ba8722d286ace31f391e5eb9d62f049be42e9d0f164663b745c68c222f1ebf,23fb10d43333fd58f665f97a951e98e403cc4aec4dfca7942d5007d5f7886396,66dbad976f9f8755776aeb1f1eecab7929c1e319a32ba168eee88273a9573652,34931f8fbeabfa1e6516c33bbdd1dfa172b5abb2c9c0c26a85a34e9230e6aefe,2c59628116af3da246ad1148df3306ed622e4bc7c52d02f7518c41db28b05d64,854aef0faa6e8b4149ddb2caef33f0006715269671c0fb21fb6720efe3c0f110,c36a87b176877cada3ee2dd0631603ef170f3f30434e805bd99afb57077ab58e,0.003972780,0.119007218,0000
6,001a,0010,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,80d78d56a911801d6bb197b717bb59230eb787e104be051e1c4933475c5440f2,069b5252d9b9fced27119b57e46ce27318906df5fafbbe32eec68af9caf4f718,66dbad976f9f8755776aeb1f1eecab7929c1e319a32ba168eee88273a9573652,34931f8fbeabfa1e6516c33bbdd1dfa172b5abb2c9c0c26a85a34e9230e6aefe,2c59628116af3da246ad1148df3306ed622e4bc7c52d02f7518c41db28b05d64,92a250f905e344ce4aa3b92215061d9d758219a6b61f12cc4595670d286c4a67,77004aab8630cf6ea5a0e6b1532bdf8276c70590c01b54242fb478fcc3939b22,0.004290787,0.119003026,0000
7,001a,0010,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,ea87b0d39b77e42a9f68655550af19d911983ce353480a06ded51ec092bbf217,5c84cb824c6666a902e9a6df9ed3e9b32af81d62a8b4f95d71e9ac5d524ab5be,66dbad976f9f8755776aeb1f1eecab7929c1e319a32ba168eee88273a9573652,34931f8fbeabfa1e6516c33bbdd1dfa172b5abb2c9c0c26a85a34e9230e6aefe,2c59628116af3da246ad1148df3306ed622e4bc7c52d02f7518c41db28b05d64,6e0346bce96c3b6154eff9dab89335f8d1ff82ac79733687aa982595e23452b5,4fcf2ffbc1846b5eb42ae904e4f35a6a064a0d54321366c43d4735b8e8ef1afe,0.004013409,0.121660514,0000
8,001a,0010,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,b8c7308ec1848b124dc597223c5569895e37411b2aaf9b0e75f73f7f510cba88,57c75f0aa6caa2b91ab42fb01b53acd1aefb795063391e63baa20f0f058e98f5,66dbad976f9f8755776aeb1f1eecab7929c1e319a32ba168eee88273a9573652,34931f8fbeabfa1e6516c33bbdd1dfa172b5abb2c9c0c26a85a34e9230e6aefe,2c59628116af3da246ad1148df3306ed622e4bc7c52d02f7518c41db28b05d64,f99583532ab1ab1dce2fe22f9f2ad01ad445e02ca1b1e8e8331f262fcdfd8468,acb4171add48b19d204a6a6c1dc94e3654722e7ad17e8a9b8679a87f8c6a7abe,0.003818710,0.121094862,0000
9,001a,0010,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,7fbe8cfa5e4560da205c2c6dc71f12bfd89b55d766a13d3e252fe65200999083,486d2682a7020f547982bd866d23b42f8c5e724c01b6301d6887a16f6a5f10d2,66dbad976f9f8755776aeb1f1eecab7929c1e319a32ba168eee88273a9573652,34931f8fbeabfa1e6516c33bbdd1dfa172b5abb2c9c0c26a85a34e9230e6aefe,2c59628116af3da246ad1148df3306ed622e4bc7c52d02f7518c41db28b05d64,9496729c1a7f6f47db69475642d7b33ee9999be8bdcdbafa2a3da5a9434d9f22,e94f38e72f942ebcf2a02bb53ed23fcc9cbc733e1de14d63007e071c80706133,0.003976314,0.121042919,0000
