id,algorithm,curve,digest,signature_r,signature_s,private_key,public_key_x,public_key_y,nonce_point_x,nonce_point_y,duration,duration_extra,return_code
0,001c,0010,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,7bd2a14ad3b319bf4ad85a00ae02df1f7278c9ace02e95200169a0422e6327c2,13372a450ed3637c80c489a3c72a088fb14186cb89afc6990ed2b6d75e912323,c8447308e4376bdacd6565785fe14a0c35487d8c37d9034de053bfa5d1c5be30,2d616ba8ceb753946db54b39e8cebaea24a709d6c8f297a422d080bb8a9f8250,49585bf7a76ab92c03218b4d93a26e681eced90d3ed9222a57c1ebdb06585c34,,,0.300663647,0.000000000,0000
1,001c,0010,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,f4ee7102f371081471b0f4f304b76a2af6f79596e3dd9781faa9ca8938e5fcd7,8bce3d8abce2904f04868d35c003a6c8e2d2014da6cc786ec0e4dbe4bf227ab0,c8447308e4376bdacd6565785fe14a0c35487d8c37d9034de053bfa5d1c5be30,2d616ba8ceb753946db54b39e8cebaea24a709d6c8f297a422d080bb8a9f8250,49585bf7a76ab92c03218b4d93a26e681eced90d3ed9222a57c1ebdb06585c34,,,0.301315239,0.000000000,0000
2,001c,0010,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,694a322e43b9875fac67434c2d5f5fb3dcf6189b15f0b19597e514bf152c5b60,484d8b05714e8035ea5f314a274627966ee39c9be20a569ba7efd77486c10efb,c8447308e4376bdacd6565785fe14a0c35487d8c37d9034de053bfa5d1c5be30,2d616ba8ceb753946db54b39e8cebaea24a709d6c8f297a422d080bb8a9f8250,49585bf7a76ab92c03218b4d93a26e681eced90d3ed9222a57c1ebdb06585c34,,,0.151422642,0.000000000,0000
3,001c,0010,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,157d5b034a4840ad65d778f4f5ecd2a0ed06dc395686cf90065602e879f93c5e,589e390aa5f4019bbcbf5a6a1245e158037728a16f39c21b90974c094f6a3869,c8447308e4376bdacd6565785fe14a0c35487d8c37d9034de053bfa5d1c5be30,2d616ba8ceb753946db54b39e8cebaea24a709d6c8f297a422d080bb8a9f8250,49585bf7a76ab92c03218b4d93a26e681eced90d3ed9222a57c1ebdb06585c34,,,0.151991227,0.000000000,0000
4,001c,0010,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,d98da12c9746c8e8e357d36600f1f78a4d5902c5076708e86e3fd4bbdcaa7f8a,b96a9268f105b2197e8a2c62eed1fb87d6d8af3dd1d900ac5c4c582534e5e94f,c8447308e4376bdacd6565785fe14a0c35487d8c37d9034de053bfa5d1c5be30,2d616ba8ceb753946db54b39e8cebaea24a709d6c8f297a422d080bb8a9f8250,49585bf7a76ab92c03218b4d93a26e681eced90d3ed9222a57c1ebdb06585c34,,,0.151400133,0.000000000,0000
5,001c,0010,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,ef9bcca5f18564ebe12e72675cad54d058b7b5d389b0a4aaedfbbaf01d9703cb,ddae09f585858c5dee2014c10c22cbe9ee359ed9af805894f592d3d628e63c6b,c8447308e4376bdacd6565785fe14a0c35487d8c37d9034de053bfa5d1c5be30,2d616ba8ceb753946db54b39e8cebaea24a709d6c8f297a422d080bb8a9f8250,49585bf7a76ab92c03218b4d93a26e681eced90d3ed9222a57c1ebdb06585c34,,,0.148815283,0.000000000,0000
6,001c,0010,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,f156bc62c7969627f85924cf962ce1be0ae7634cf24ab0a3ee17a9d9daf97d65,5cc1393e50e6134b0fa64900558d1f07f09f8654018b1a36d8c664847abbfbec,c8447308e4376bdacd6565785fe14a0c35487d8c37d9034de053bfa5d1c5be30,2d616ba8ceb753946db54b39e8cebaea24a709d6c8f297a422d080bb8a9f8250,49585bf7a76ab92c03218b4d93a26e681eced90d3ed9222a57c1ebdb06585c34,,,0.150181618,0.000000000,0000
7,001c,0010,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,7fd604e9c82c9558a4c68fda7fa4ddaf0eb20d65ff44f73e9a9ba8799f2059ce,d9bcb1b6bd0c54d36c18ad820946efddfc618fd2758087e1feb2bd52589ac539,c8447308e4376bdacd6565785fe14a0c35487d8c37d9034de053bfa5d1c5be30,2d616ba8ceb753946db54b39e8cebaea24a709d6c8f297a422d080bb8a9f8250,49585bf7a76ab92c03218b4d93a26e681eced90d3ed9222a57c1ebdb06585c34,,,0.151742774,0.000000000,0000
8,001c,0010,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,d92b015909fc17c2ff5c017f08ece9006397b454ac1abc499053491bc2e8e8e0,04347378e385c58e0e89def47bc7ae83d5b788d532ef69f17384cce01100751e,c8447308e4376bdacd6565785fe14a0c35487d8c37d9034de053bfa5d1c5be30,2d616ba8ceb753946db54b39e8cebaea24a709d6c8f297a422d080bb8a9f8250,49585bf7a76ab92c03218b4d93a26e681eced90d3ed9222a57c1ebdb06585c34,,,0.151566477,0.000000000,0000
9,001c,0010,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,c4e8b5aa09dc0cf1b401e0d4fe47e4a810078e092983004351b50a3a00a36d29,71ce2252a205a8a4f1618ab9c582d446a903294ebcbe6eb6c275d63652d886b1,c8447308e4376bdacd6565785fe14a0c35487d8c37d9034de053bfa5d1c5be30,2d616ba8ceb753946db54b39e8cebaea24a709d6c8f297a422d080bb8a9f8250,49585bf7a76ab92c03218b4d93a26e681eced90d3ed9222a57c1ebdb06585c34,,,0.599498838,0.000000000,0000
10,001c,0010,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,f504ed764ef932f64bb138ae4625ddf20f414c0a4b73d91a2fc9c68608cf8757,b512986dd8968669dd84a049ba5d22b081ddac3d2c07c7873ec2e6f53c240911,c8447308e4376bdacd6565785fe14a0c35487d8c37d9034de053bfa5d1c5be30,2d616ba8ceb753946db54b39e8cebaea24a709d6c8f297a422d080bb8a9f8250,49585bf7a76ab92c03218b4d93a26e681eced90d3ed9222a57c1ebdb06585c34,,,0.149727378,0.000000000,0000
11,001c,0010,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,6a09399be30a81e747245e0a691e58eb271c9aded56462ee5a827d8fd1001d69,8c2987918111b5d4a2f015935dfdbe7522f20bfd3ce6bbb76647512dea6f3cea,c8447308e4376bdacd6565785fe14a0c35487d8c37d9034de053bfa5d1c5be30,2d616ba8ceb753946db54b39e8cebaea24a709d6c8f297a422d080bb8a9f8250,49585bf7a76ab92c03218b4d93a26e681eced90d3ed9222a57c1ebdb06585c34,,,0.151558594,0.000000000,0000
12,001c,0010,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,344ab2335565a2135656c05501396d1878994e49cba1f3951342c70866d98f11,d2f71efe68a8533fb2c1702dea024618e222ccf7cb04600a449292360b2fe9ad,c8447308e4376bdacd6565785fe14a0c35487d8c37d9034de053bfa5d1c5be30,2d616ba8ceb753946db54b39e8cebaea24a709d6c8f297a422d080bb8a9f8250,49585bf7a76ab92c03218b4d93a26e681eced90d3ed9222a57c1ebdb06585c34,,,0.151451922,0.000000000,0000
13,001c,0010,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,09f798f3b16d16d0a4be41b8c2feef1cafe6907edf3583cf53642020312d70f0,b0fbd860d1d764f9a8d54511100164e0bc1ce70761ca4cad9fbe47e6ea5bbb35,c8447308e4376bdacd6565785fe14a0c35487d8c37d9034de053bfa5d1c5be30,2d616ba8ceb753946db54b39e8cebaea24a709d6c8f297a422d080bb8a9f8250,49585bf7a76ab92c03218b4d93a26e681eced90d3ed9222a57c1ebdb06585c34,,,0.148970852,0.000000000,0000
14,001c,0010,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,9bfba3cf68d824aa8f58e68b038123db589f27b3b846fc1589420e0ed9aedf59,8094ff566b08e0c4d06ac84431030724cf695b70422d2049ceb8609607a4acfd,c8447308e4376bdacd6565785fe14a0c35487d8c37d9034de053bfa5d1c5be30,2d616ba8ceb753946db54b39e8cebaea24a709d6c8f297a422d080bb8a9f8250,49585bf7a76ab92c03218b4d93a26e681eced90d3ed9222a57c1ebdb06585c34,,,1.047938930,0.000000000,0000
15,001c,0010,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,602c28759c3572262d42a9a913b34720189f523fce4caf7c956a3f0f0fa4e7a0,fe1b376080d3c32470e08df9832d0918c25e0ff9bcd1e383b29bb3323bcd513f,c8447308e4376bdacd6565785fe14a0c35487d8c37d9034de053bfa5d1c5be30,2d616ba8ceb753946db54b39e8cebaea24a709d6c8f297a422d080bb8a9f8250,49585bf7a76ab92c03218b4d93a26e681eced90d3ed9222a57c1ebdb06585c34,,,0.151399189,0.000000000,0000
16,001c,0010,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,cbc2e256dd254a2bc4ae6edfb2a306c9fbf579433d56dd6eb843fcba067ea788,df849cdb6ea2c77da42f22a3c0e7c4be963c80317b0d451ed6ff91639ccf94c6,c8447308e4376bdacd6565785fe14a0c35487d8c37d9034de053bfa5d1c5be30,2d616ba8ceb753946db54b39e8cebaea24a709d6c8f297a422d080bb8a9f8250,49585bf7a76ab92c03218b4d93a26e681eced90d3ed9222a57c1ebdb06585c34,,,0.151990541,0.000000000,0000
