id,algorithm,curve,digest,signature_r,signature_s,private_key,public_key_x,public_key_y,nonce_point_x,nonce_point_y,duration,duration_extra,return_code
0,001c,0020,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,f675cfecc64c11ff8e694935a7741cf43e6daa43a575c680daf40357427c3623,30174d71573972078ade30a8ba8944461c161e7496aeb7f808daf098d24477bf,68257373178530b1b80305b96144e9a94c77d5ab2fa5b2872801ef6df2817cd4,06996252e0f4b52f2afbc6723b20eacc8b9ea79452f158441c6e2c6f44fff22d,cbf5e56206e2a1632a16b13f427f235a1be00b6c77ff76b5a2b998b1a38b7e53,,,0.013055816,0.000000000,0000
1,001c,0020,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,348f191704d7b358b38c75d9e9e97d899c3ddcd8914d143fb78996606d7528fa,56af6971a03a927ea935ffd3fbaaa0e799f1bae838d5ae138f0f4272b56d0e44,68257373178530b1b80305b96144e9a94c77d5ab2fa5b2872801ef6df2817cd4,06996252e0f4b52f2afbc6723b20eacc8b9ea79452f158441c6e2c6f44fff22d,cbf5e56206e2a1632a16b13f427f235a1be00b6c77ff76b5a2b998b1a38b7e53,,,0.013048225,0.000000000,0000
2,001c,0020,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,a99e35c1561af9372c98594919050fbc68f49e6cb54bdad7c7d6038447c4efb6,020523c62d728fef83cdb3ae71ba3632a830198f3e50367ee3b3c82e7894a7d1,68257373178530b1b80305b96144e9a94c77d5ab2fa5b2872801ef6df2817cd4,06996252e0f4b52f2afbc6723b20eacc8b9ea79452f158441c6e2c6f44fff22d,cbf5e56206e2a1632a16b13f427f235a1be00b6c77ff76b5a2b998b1a38b7e53,,,0.012993739,0.000000000,0000
3,001c,0020,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,809d3e03a1e68e9838039939b4ec1eaeac9943eb8f5f307088fea3158f7c29ec,e1bd2a8d347e50d53fc78a544ac4e627ce68054b9e4961b8ba3a0475fa42cd8a,68257373178530b1b80305b96144e9a94c77d5ab2fa5b2872801ef6df2817cd4,06996252e0f4b52f2afbc6723b20eacc8b9ea79452f158441c6e2c6f44fff22d,cbf5e56206e2a1632a16b13f427f235a1be00b6c77ff76b5a2b998b1a38b7e53,,,0.012998074,0.000000000,0000
4,001c,0020,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,7906d8384ea768634293ecb55da1f08c75f516c23bb2bbdeb68f3327a6cd98b5,fcea9d7bd7b47926432b8473df7bf1be8f19288f8eff17a791b4f1bd47bf755e,68257373178530b1b80305b96144e9a94c77d5ab2fa5b2872801ef6df2817cd4,06996252e0f4b52f2afbc6723b20eacc8b9ea79452f158441c6e2c6f44fff22d,cbf5e56206e2a1632a16b13f427f235a1be00b6c77ff76b5a2b998b1a38b7e53,,,0.012990002,0.000000000,0000
5,001c,0020,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,a838caacddfe169ac4e4e7e2aa1e2c9ad22cba78c98e52ced9c74c24a6cf91e8,7a8e068db88d9b14ab7688c9b01858473fda99511d39bd716f37859e805f0b6e,68257373178530b1b80305b96144e9a94c77d5ab2fa5b2872801ef6df2817cd4,06996252e0f4b52f2afbc6723b20eacc8b9ea79452f158441c6e2c6f44fff22d,cbf5e56206e2a1632a16b13f427f235a1be00b6c77ff76b5a2b998b1a38b7e53,,,0.012995736,0.000000000,0000
6,001c,0020,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,c60571a7b7aaa45f9abda91e4db67db16dbd8c2b5b74a2cb87807fa0539d178a,cc04659063093b330bdbb4b85d188a13a7b9c198f3c268f080fbf881125540c9,68257373178530b1b80305b96144e9a94c77d5ab2fa5b2872801ef6df2817cd4,06996252e0f4b52f2afbc6723b20eacc8b9ea79452f158441c6e2c6f44fff22d,cbf5e56206e2a1632a16b13f427f235a1be00b6c77ff76b5a2b998b1a38b7e53,,,0.012995597,0.000000000,0000
7,001c,0020,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,b70ff01e9a83ea4c777d9113f232cffcc80091698df1d123f712e64da36af24b,3bbd35d5b8e84c14122b6aa9e8b4114f15f9c232645e8aa27cd7b1b1cc8bd33d,68257373178530b1b80305b96144e9a94c77d5ab2fa5b2872801ef6df2817cd4,06996252e0f4b52f2afbc6723b20eacc8b9ea79452f158441c6e2c6f44fff22d,cbf5e56206e2a1632a16b13f427f235a1be00b6c77ff76b5a2b998b1a38b7e53,,,0.012985460,0.000000000,0000
8,001c,0020,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,bd0408da5625965900a77e47cd79bfcf6810e1aee5b8937656e1b1427b95bef5,ba1a776af1f05b5827c26eb26fe22185c9ab110107cac15ff826f5aa24a835ac,68257373178530b1b80305b96144e9a94c77d5ab2fa5b2872801ef6df2817cd4,06996252e0f4b52f2afbc6723b20eacc8b9ea79452f158441c6e2c6f44fff22d,cbf5e56206e2a1632a16b13f427f235a1be00b6c77ff76b5a2b998b1a38b7e53,,,0.012996315,0.000000000,0000
9,001c,0020,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,b15bd42b7e33a859978035c45343525a88fb1dfcce88e28494a24a61a0e5c4ba,a284349f3db7d1f493cdf3778c3b213912cb7366bd1b892e93d4811d0fe16d67,68257373178530b1b80305b96144e9a94c77d5ab2fa5b2872801ef6df2817cd4,06996252e0f4b52f2afbc6723b20eacc8b9ea79452f158441c6e2c6f44fff22d,cbf5e56206e2a1632a16b13f427f235a1be00b6c77ff76b5a2b998b1a38b7e53,,,0.012993984,0.000000000,0000
