id,algorithm,curve,digest,signature_r,signature_s,private_key,public_key_x,public_key_y,nonce_point_x,nonce_point_y,duration,duration_extra,return_code
0,001c,0010,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,9963b4dce7d208d1c3aed109e40738fb14f411872879f58b82b37f96b42e8220,84208638ac4ebbdfceb6b02ccf591a12867913e09cf63b8677e86fa4a9e4a551,56cfcdd9152ebde7d746af6388447fbfbac74d7b772ae06297633165909dd2eb,a9d0cd2217d3b8a83dfedad4b71b58912a63e07df33825c00fbf140fd9daf422,9c3546c1196170feee438cbd7a66c8bfd42b1139ffabd0b91fa97380a08b772f,,,0.012046468,0.000000000,0000
1,001c,0010,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,35b02136d841923cd118d3af5648445bb2f7317e3f4c745ea1078eef8052fddf,1f19e451f08426d21d36b939fe1551e03064e28ed497f04b8e390459743d6a67,56cfcdd9152ebde7d746af6388447fbfbac74d7b772ae06297633165909dd2eb,a9d0cd2217d3b8a83dfedad4b71b58912a63e07df33825c00fbf140fd9daf422,9c3546c1196170feee438cbd7a66c8bfd42b1139ffabd0b91fa97380a08b772f,,,0.012034711,0.000000000,0000
2,001c,0010,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,011ad30c6bd098f7dbf2492ecfcd590a6ac26815fb47d10faa60a39fdaf66ac7,e74fee30d399e4b1e569666555a3b2355ed95f2ab5299fdcb9dafb6e9ca715e4,56cfcdd9152ebde7d746af6388447fbfbac74d7b772ae06297633165909dd2eb,a9d0cd2217d3b8a83dfedad4b71b58912a63e07df33825c00fbf140fd9daf422,9c3546c1196170feee438cbd7a66c8bfd42b1139ffabd0b91fa97380a08b772f,,,0.012004060,0.000000000,0000
3,001c,0010,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,ed88213518b2eef86f3b739785cb8e44a4e343022a51d0c88fc54ff222acc151,0e068b19954eca53e96ede66f8317c350284f7537b23b9d8f3f31aa6935ea806,56cfcdd9152ebde7d746af6388447fbfbac74d7b772ae06297633165909dd2eb,a9d0cd2217d3b8a83dfedad4b71b58912a63e07df33825c00fbf140fd9daf422,9c3546c1196170feee438cbd7a66c8bfd42b1139ffabd0b91fa97380a08b772f,,,0.011997367,0.000000000,0000
4,001c,0010,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,5d0817756fab60ac4f479d282e3440d06ee72a9e236fb137dd3dfe78d5869929,6864619b119ab1be27c357894e8de323d00f2c3bc1f59ff41f83c1ace0a73904,56cfcdd9152ebde7d746af6388447fbfbac74d7b772ae06297633165909dd2eb,a9d0cd2217d3b8a83dfedad4b71b58912a63e07df33825c00fbf140fd9daf422,9c3546c1196170feee438cbd7a66c8bfd42b1139ffabd0b91fa97380a08b772f,,,0.012003349,0.000000000,0000
5,001c,0010,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,9a5cffabbf8bf80d109a532e4a0fd4b6a20fe841fbac07102864d6a914e6117f,02f165ee3e71cacad2495033633a561fe25384c3ef7882d96c88ed1958c4dcd3,56cfcdd9152ebde7d746af6388447fbfbac74d7b772ae06297633165909dd2eb,a9d0cd2217d3b8a83dfedad4b71b58912a63e07df33825c00fbf140fd9daf422,9c3546c1196170feee438cbd7a66c8bfd42b1139ffabd0b91fa97380a08b772f,,,0.011982319,0.000000000,0000
6,001c,0010,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,3a1e6161fc419a51f50669e34e0ccf4a1fe427114726d0edd71b3db75879fb21,3ce10ec56e636ffe98e35aa55bfa62adce97ded6eab4a026134583a7ddfe2c3b,56cfcdd9152ebde7d746af6388447fbfbac74d7b772ae06297633165909dd2eb,a9d0cd2217d3b8a83dfedad4b71b58912a63e07df33825c00fbf140fd9daf422,9c3546c1196170feee438cbd7a66c8bfd42b1139ffabd0b91fa97380a08b772f,,,0.011993157,0.000000000,0000
7,001c,0010,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,12688f303f31bef3d66336f8b7114657b89ba9f0889482cd8f9eb299035834a2,5f714b7b3ac2f7333dc0d4920dae8dda7b83d2e7b4dedbe3766ab7206b100478,56cfcdd9152ebde7d746af6388447fbfbac74d7b772ae06297633165909dd2eb,a9d0cd2217d3b8a83dfedad4b71b58912a63e07df33825c00fbf140fd9daf422,9c3546c1196170feee438cbd7a66c8bfd42b1139ffabd0b91fa97380a08b772f,,,0.011993423,0.000000000,0000
8,001c,0010,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,36ae19c4e3c3e0f3f9e4eeda5cc10e3bd0bbd5f263f37087ea7f965be1c2ba0d,57eba315b1cadedd02bc8aead04100295d392f7b7ed7e8a68f7ea6b0115efe07,56cfcdd9152ebde7d746af6388447fbfbac74d7b772ae06297633165909dd2eb,a9d0cd2217d3b8a83dfedad4b71b58912a63e07df33825c00fbf140fd9daf422,9c3546c1196170feee438cbd7a66c8bfd42b1139ffabd0b91fa97380a08b772f,,,0.011993219,0.000000000,0000
9,001c,0010,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,bd070906bf6321c45e2f0711a766b07621d762d1500fc421300d97e2e17b612c,8310b649fa438a9ce733cb93ad12c7e5e36ed525ba9ec80e0701e2e76344e17a,56cfcdd9152ebde7d746af6388447fbfbac74d7b772ae06297633165909dd2eb,a9d0cd2217d3b8a83dfedad4b71b58912a63e07df33825c00fbf140fd9daf422,9c3546c1196170feee438cbd7a66c8bfd42b1139ffabd0b91fa97380a08b772f,,,0.011993505,0.000000000,0000
