id,algorithm,curve,digest,signature_r,signature_s,private_key,public_key_x,public_key_y,nonce_point_x,nonce_point_y,duration,duration_extra,return_code
0,001a,0003,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,5650470d5fe05d8a44e2495dde20b4e3e4e859d49025107d65643a677aed40f8,4d8fdfc88f5c0d7464d30d9471a6d301f18480488afb9b7c7751ab1316b111e6,2cd6fefcb4bdd5767b9932b0ef46311ac61e33a6f7dad8c2d49f13959b026c71,cc49c4d215ddcadfabaf9b0f0765a6483f819887ba581a0c396ab47d1bfa6735,06cff638311bb0f4a2df11259db07ff7665903c9a648acd4b87a52a0fa3ed409,691a6f03ae52e8f90eae76bc4e605971e2d71f0594e7e5334cc1f400af170da3,1cd9a5c3b9459db78c039f87bd09bc8fc924a81b2c8d9885ba795c7c775e3b0d,0.002613876,0.012696597,0000
1,001a,0003,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,44e3ff956458dec14d50d7c18593fac76ce2d7352eef6ef1e05fcceefe29fc82,7511223ba4e3e45963a6124e35d230efea9dddd185190324e24c476a97593bbc,2cd6fefcb4bdd5767b9932b0ef46311ac61e33a6f7dad8c2d49f13959b026c71,cc49c4d215ddcadfabaf9b0f0765a6483f819887ba581a0c396ab47d1bfa6735,06cff638311bb0f4a2df11259db07ff7665903c9a648acd4b87a52a0fa3ed409,b4e1e4df1942c43f3d60ceccb366ed7be5b4c07a278162895f49aa5991d03277,86f10e114d96eb8905ca6214cd066b5f99815c0fdbb919fe43912814ba36fa9e,0.002512587,0.011675606,0000
2,001a,0003,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,fb82d8335d801efab1561478637568f23f43a10b32d7de97dcfda177e38e7275,c16246cc4f0d418509103ad14b3e08dd377fc43ed24639a7bf28052f03d86072,2cd6fefcb4bdd5767b9932b0ef46311ac61e33a6f7dad8c2d49f13959b026c71,cc49c4d215ddcadfabaf9b0f0765a6483f819887ba581a0c396ab47d1bfa6735,06cff638311bb0f4a2df11259db07ff7665903c9a648acd4b87a52a0fa3ed409,684c1568b14438f5088d9619b95632eabc2f4eda364b6555a5f74d43edfa106d,58826af47759024eb261e3756f79a92b1c7d44d92dd2f401dd4878354ec44e5e,0.002520382,0.011655140,0000
3,001a,0003,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,c179873ca1263998c69fc964a2ddbcf78010ebb5f306deb5fed106361ad74e7c,40aeec6ff3c66b7f8ef094a7d842c462e713ba35d6583a23af7ec103be014308,2cd6fefcb4bdd5767b9932b0ef46311ac61e33a6f7dad8c2d49f13959b026c71,cc49c4d215ddcadfabaf9b0f0765a6483f819887ba581a0c396ab47d1bfa6735,06cff638311bb0f4a2df11259db07ff7665903c9a648acd4b87a52a0fa3ed409,013aa352089ff9b40a24ac2ccfcd49e574b4490e4db5602eca345da54130ce0a,7cc464e0d3def73d407636fa236505c8e8675ccd6a79e40087c13ad7aeb20afd,0.002535249,0.011634107,0000
4,001a,0003,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,c5611f8880557c3afed56f065516f3d79ed8024af50cd8a91779f9d96a7abcb9,883280d05a03736cbaf8fb4b7437564b9bf603b7afce54acc2a1e3f68dfb4355,2cd6fefcb4bdd5767b9932b0ef46311ac61e33a6f7dad8c2d49f13959b026c71,cc49c4d215ddcadfabaf9b0f0765a6483f819887ba581a0c396ab47d1bfa6735,06cff638311bb0f4a2df11259db07ff7665903c9a648acd4b87a52a0fa3ed409,9019f7ee84636f8c0629013d19085245a7c48194fbe8081d73b9d0509f618f40,613a52ddab8d2334d473594fb7cc7b58abee75276ffef105c32509676c3066de,0.002537658,0.011403070,0000
5,001a,0003,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,31de350372a769a47bc5c41176129b186778884b275f6106d0bb8f4b45f22307,7c68a9ee0ef1c3b58cdca0c2e3d29728fc261d59eb473346cbe68225b52b7bac,2cd6fefcb4bdd5767b9932b0ef46311ac61e33a6f7dad8c2d49f13959b026c71,cc49c4d215ddcadfabaf9b0f0765a6483f819887ba581a0c396ab47d1bfa6735,06cff638311bb0f4a2df11259db07ff7665903c9a648acd4b87a52a0fa3ed409,8c13e1b7835b3d7d44cd410eb2e7e5815b11b98f51dbc9676b44f729228486ad,9b6e5a0d5cd13a670ecb757f7c625bb59309c64e9180d49e9d08ac3886016445,0.002537487,0.011477365,0000
6,001a,0003,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,f0f6121fc0b8a6e7764f1d7c42183d7043637e2d555dcd5820a37b1bab1595e2,3986c07e196b0c2ffb323569c3669ec196c834f1e31bb0d0ab004525fe53226c,2cd6fefcb4bdd5767b9932b0ef46311ac61e33a6f7dad8c2d49f13959b026c71,cc49c4d215ddcadfabaf9b0f0765a6483f819887ba581a0c396ab47d1bfa6735,06cff638311bb0f4a2df11259db07ff7665903c9a648acd4b87a52a0fa3ed409,27b9b0ee7fef55dda395aafa3c0c277d4b2e0a1c4823138da541daeb1d48f334,da91532d2d692aa7779b19664b0031de6b1ec9db376fc4a3f34348f4a1854885,0.002542051,0.011463803,0000
7,001a,0003,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,d357cd0bddbe00943c5859ebd85ec6f1fc553f1653722ac5efdfce8dfb65cb91,c0fc7a73eba41377deaf86da1a20dc98d9533ec97d4d9b7abb896c7ae79266a8,2cd6fefcb4bdd5767b9932b0ef46311ac61e33a6f7dad8c2d49f13959b026c71,cc49c4d215ddcadfabaf9b0f0765a6483f819887ba581a0c396ab47d1bfa6735,06cff638311bb0f4a2df11259db07ff7665903c9a648acd4b87a52a0fa3ed409,10e0d352954b86d29bcca80945717853d907b3e2532a0ab8da41d61bfbe662f7,807b6efd6b0a59183d3dbaa26bea36347bf2f67f63669699f7150ee9592a2a76,0.002536115,0.011391188,0000
8,001a,0003,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,a6753170e89e9ac3cebea874854d0be7957f9294aa85a5b5134af9a77595fbd8,b88a2aa63901de0532dfa5339f7ac44eb566ac6b8acc9ad0c9f8de993b88caa1,2cd6fefcb4bdd5767b9932b0ef46311ac61e33a6f7dad8c2d49f13959b026c71,cc49c4d215ddcadfabaf9b0f0765a6483f819887ba581a0c396ab47d1bfa6735,06cff638311bb0f4a2df11259db07ff7665903c9a648acd4b87a52a0fa3ed409,b09c402ec9e0bac37142d0141db31cd2ee135fcdc1433d5579ca4c1b658a6081,29de85df288a9803499cc6fdea4ae6a585c16f0d0b91ebc3e832c6bb42fc2619,0.002546564,0.011442162,0000
9,001a,0003,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,2c639629ce772414b45f26887e7314e621da562cfb7a7dd258ef3f19a8a3c624,6f08015dea9d72caafb41462291112499b6b71001542fde3229c115068703b03,2cd6fefcb4bdd5767b9932b0ef46311ac61e33a6f7dad8c2d49f13959b026c71,cc49c4d215ddcadfabaf9b0f0765a6483f819887ba581a0c396ab47d1bfa6735,06cff638311bb0f4a2df11259db07ff7665903c9a648acd4b87a52a0fa3ed409,8375d560bd8e173ec3ec560196f4a3152bbccc2ae6b3112f37324cde18df5528,90b118cd0032d86a49c248c59dc8cfa1df2a3e3e7fd7e5797de41a2dd2b81bec,0.002544033,0.011374305,0000
10,001a,0003,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,cd73da14ce01b80b142fd8854ba0cc2352e008897a1b63ebca574b5e3e7939ab,365f023449ccafd7cfab13217cca8a971ccd15f5c631933d1819e3f71503f541,2cd6fefcb4bdd5767b9932b0ef46311ac61e33a6f7dad8c2d49f13959b026c71,cc49c4d215ddcadfabaf9b0f0765a6483f819887ba581a0c396ab47d1bfa6735,06cff638311bb0f4a2df11259db07ff7665903c9a648acd4b87a52a0fa3ed409,4010472e3634684cd1c414899ab21a25ad948bd159729dd297750298b10c2acd,1f3dbe5e852c97b90880bde19389c506642e8456de8043c5bdf36a0e6ead77cd,0.002541269,0.011551962,0000
