id,algorithm,curve,digest,signature_r,signature_s,private_key,public_key_x,public_key_y,nonce_point_x,nonce_point_y,duration,duration_extra,return_code
0,001c,0010,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,af3d2521bed6af1353c1ac848b8b0a674b6acfc613cf49f303952a75d17bae23,4e20ce114ff149461c75eda43d3664bd0a9606649e43b9c796f12cf0cd989dce,7feb6c858f098e7561e23f4a8373a437a87665a4a006af9b1bd354c49e278ab9,ec5e1ded62b0e7a5f42b77566bba1aaf58877d9a07ccbcc73fede6638eed6afb,7765f33d8b7334f8a23b73bca15813134d2b72579d69923fefea2e7bfb217d6b,,,0.062631550,0.000000000,0000
1,001c,0010,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,a11163abc0ab209fa2ceea3d0fa066242c6ba5da07526ff80e24dc2126643fca,623ac0ba64d5caa9e2906af640d7e32099a6a998bdfb391f1454a031f4ec5d83,7feb6c858f098e7561e23f4a8373a437a87665a4a006af9b1bd354c49e278ab9,ec5e1ded62b0e7a5f42b77566bba1aaf58877d9a07ccbcc73fede6638eed6afb,7765f33d8b7334f8a23b73bca15813134d2b72579d69923fefea2e7bfb217d6b,,,0.062943801,0.000000000,0000
2,001c,0010,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,487456de00e134b2490bbac324f04f21f684801e96020f224b85ec851ba17121,ce051c1bd6a8b3d672f217ca2d7cdf2f9f87c0a073552249e181a41bdd1a0970,7feb6c858f098e7561e23f4a8373a437a87665a4a006af9b1bd354c49e278ab9,ec5e1ded62b0e7a5f42b77566bba1aaf58877d9a07ccbcc73fede6638eed6afb,7765f33d8b7334f8a23b73bca15813134d2b72579d69923fefea2e7bfb217d6b,,,0.062024951,0.000000000,0000
3,001c,0010,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,854f8ec0c47806b29afc97481985575e19c5e380d11c5245a19389a5e30efbcb,f6462035cfc72b348b7fb8b3c02e495ce6af9fe25be6be0b52b2a3160c18811f,7feb6c858f098e7561e23f4a8373a437a87665a4a006af9b1bd354c49e278ab9,ec5e1ded62b0e7a5f42b77566bba1aaf58877d9a07ccbcc73fede6638eed6afb,7765f33d8b7334f8a23b73bca15813134d2b72579d69923fefea2e7bfb217d6b,,,0.061994120,0.000000000,0000
4,001c,0010,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,52a02f05d0f5273694db2d8114616fab3f2c49580d07cf10877528768cc2482d,c8cc3b0c5c9955c9721611bf51f0cc48f3ec6fda694f01cfaea3fbd9c136d10d,7feb6c858f098e7561e23f4a8373a437a87665a4a006af9b1bd354c49e278ab9,ec5e1ded62b0e7a5f42b77566bba1aaf58877d9a07ccbcc73fede6638eed6afb,7765f33d8b7334f8a23b73bca15813134d2b72579d69923fefea2e7bfb217d6b,,,0.061989817,0.000000000,0000
5,001c,0010,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,2352fe26a20d94b30bf61ecd53fdf69016d969b7eff9a3406c052369ab1a7197,4cce6105f75761b27819a6035e65e97db69cc21ff3989da21ead738749e4decb,7feb6c858f098e7561e23f4a8373a437a87665a4a006af9b1bd354c49e278ab9,ec5e1ded62b0e7a5f42b77566bba1aaf58877d9a07ccbcc73fede6638eed6afb,7765f33d8b7334f8a23b73bca15813134d2b72579d69923fefea2e7bfb217d6b,,,0.062945734,0.000000000,0000
6,001c,0010,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,dd8483299653222980489c45239d400bc727f3c193a0145157170816816bd756,c9eafbbfea4209d987d044c93aad86020d034c4d754820e98b27c19abdc57aae,7feb6c858f098e7561e23f4a8373a437a87665a4a006af9b1bd354c49e278ab9,ec5e1ded62b0e7a5f42b77566bba1aaf58877d9a07ccbcc73fede6638eed6afb,7765f33d8b7334f8a23b73bca15813134d2b72579d69923fefea2e7bfb217d6b,,,0.061989879,0.000000000,0000
7,001c,0010,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,b58d3a2813d268dd6a6ba9c4a29f46af1fb370b3a66a4c68d0123e2555cd464c,9f505d90a7295248b45d534c8b62e09e5307fe5ba71c10f9ac55e6ba62f5a6c0,7feb6c858f098e7561e23f4a8373a437a87665a4a006af9b1bd354c49e278ab9,ec5e1ded62b0e7a5f42b77566bba1aaf58877d9a07ccbcc73fede6638eed6afb,7765f33d8b7334f8a23b73bca15813134d2b72579d69923fefea2e7bfb217d6b,,,0.062970446,0.000000000,0000
8,001c,0010,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,5fd5aa6c4db4116f59d72da218d9c64dba224001e7784a21dccb98e4fe1bce20,7b9d2adff6825f783267b512190e1901b950883890fae1f9d447798178fd8ab9,7feb6c858f098e7561e23f4a8373a437a87665a4a006af9b1bd354c49e278ab9,ec5e1ded62b0e7a5f42b77566bba1aaf58877d9a07ccbcc73fede6638eed6afb,7765f33d8b7334f8a23b73bca15813134d2b72579d69923fefea2e7bfb217d6b,,,0.062990410,0.000000000,0000
9,001c,0010,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,4451bc945c575bcd0ccfc1af1524f66b46682c9a764c3f52a2877ebabf174653,6e9b92e95bd8582ae38d86d7003b397b3a609b2daec079979e56f497e38c91fb,7feb6c858f098e7561e23f4a8373a437a87665a4a006af9b1bd354c49e278ab9,ec5e1ded62b0e7a5f42b77566bba1aaf58877d9a07ccbcc73fede6638eed6afb,7765f33d8b7334f8a23b73bca15813134d2b72579d69923fefea2e7bfb217d6b,,,0.062003147,0.000000000,0000
