id,algorithm,curve,digest,signature_r,signature_s,private_key,public_key_x,public_key_y,nonce_point_x,nonce_point_y,duration,duration_extra,return_code
0,001a,0003,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,f97c3eb2e3b712df760110e9439be1062e42e00486d4448941a63e329e8c6c08,23fc05eea0def96cf03d187b411c54b90b3ba1acee030c7ccd8635bbc02434c2,24efe3416d1503acdf1940868e8c6ca5d919d991d5ef28c3bf3f0cea039dd802,d889fa5fb5bc8dec66742a2d3da687b7215c05000b9a415854f334d61983a5c0,4b93138d704ce5bc1fe15ea192ff1dd65c9dab6e6062e0a77521531185e9021e,68d9cd907c8c3b5d39ee8747caccb17f7f03a56cafa04573ddb8a0e6e665c032,0.009919740,0.059660100,0000
1,001a,0003,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,c2dd0567d63ea85f9a5ae809146efe1bb1bcba353489a12fa7d547126fc08817,23fc05eea0def96cf03d187b411c54b90b3ba1acee030c7ccd8635bbc02434c2,24efe3416d1503acdf1940868e8c6ca5d919d991d5ef28c3bf3f0cea039dd802,d889fa5fb5bc8dec66742a2d3da687b7215c05000b9a415854f334d61983a5c0,5598b43f56690cdaa13491a5691f39e3f15114a84500ccfc7b4d5ac26cbb2530,ee64ad226f07ede411f6bcd33393b97ed2ca9072cafdd09286cb31a5650f2840,0.009909516,0.060054591,0000
2,001a,0003,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,84aaba422301c4fe94fea9cc6706c7251f084d49b05f7db078ed5cb2c0c8bb09,23fc05eea0def96cf03d187b411c54b90b3ba1acee030c7ccd8635bbc02434c2,24efe3416d1503acdf1940868e8c6ca5d919d991d5ef28c3bf3f0cea039dd802,d889fa5fb5bc8dec66742a2d3da687b7215c05000b9a415854f334d61983a5c0,e6aa069f1f532454ee269dadfa0263987c214fc6a0d178b33893c7f793a7ff98,7791df5b2ee6dfdc445ba559cc9e7cefc9c8d0526150f8cda9ac4f060030f4c1,0.009904124,0.060081403,0000
3,001a,0003,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,4d3debf077a8f5cd926f4f1464723edb9f2b57b2d93eb6c3128bd5f1ef8c4df0,23fc05eea0def96cf03d187b411c54b90b3ba1acee030c7ccd8635bbc02434c2,24efe3416d1503acdf1940868e8c6ca5d919d991d5ef28c3bf3f0cea039dd802,d889fa5fb5bc8dec66742a2d3da687b7215c05000b9a415854f334d61983a5c0,09597149d938ab918270e8e6c9eb5ac82456986122ea5c752f36b389629d7706,8bc9faa9c1be598526ebc01f225c7fb1496c1c4d4463c73438050208372e9327,0.009909614,0.061089879,0000
4,001a,0003,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,cbb62fbccefbfae2f2acae44922a6a15c3233bf684f19d813a8df2a8eba25673,23fc05eea0def96cf03d187b411c54b90b3ba1acee030c7ccd8635bbc02434c2,24efe3416d1503acdf1940868e8c6ca5d919d991d5ef28c3bf3f0cea039dd802,d889fa5fb5bc8dec66742a2d3da687b7215c05000b9a415854f334d61983a5c0,27cb33ce1eb43dbf941edef0d57137b19dbbdeaa95f1a7348f367ffae75e9a89,7550196d1dbe31dfa95c29c059db90f61cdfbcb93aec67bc02d88dbf8c05919b,0.009908218,0.060077587,0000
5,001a,0003,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,db20a8505425e6b04f68fdf1143dc43dbbd773458fe3021e804e6c78355fa899,23fc05eea0def96cf03d187b411c54b90b3ba1acee030c7ccd8635bbc02434c2,24efe3416d1503acdf1940868e8c6ca5d919d991d5ef28c3bf3f0cea039dd802,d889fa5fb5bc8dec66742a2d3da687b7215c05000b9a415854f334d61983a5c0,1e8a299ea00b6c1b2eaef5a9d23af15800f0da5a13f699ecbbfa506061a0a7e8,c271247188229481e08de16fbb207bbe81ca4c2ed44000691202b076ea27520c,0.009903093,0.060092492,0000
6,001a,0003,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,bfed87005b4acfb95c972132cd2f93d009debcb6b3d6427d99430a3bd72bb882,23fc05eea0def96cf03d187b411c54b90b3ba1acee030c7ccd8635bbc02434c2,24efe3416d1503acdf1940868e8c6ca5d919d991d5ef28c3bf3f0cea039dd802,d889fa5fb5bc8dec66742a2d3da687b7215c05000b9a415854f334d61983a5c0,7d0e42e660cee4ccbea7d33326147b172bc004b570d62e5c86f37053b6daf302,26419d27c9002dbd7764a36ed24a453fccd08ad7c2f381fc36ca3bd1d9da673d,0.009928723,0.060083070,0000
7,001a,0003,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,31346218244bef1643257d38ef26046872f3282d0330abd6cfe0c430ed4d2a60,23fc05eea0def96cf03d187b411c54b90b3ba1acee030c7ccd8635bbc02434c2,24efe3416d1503acdf1940868e8c6ca5d919d991d5ef28c3bf3f0cea039dd802,d889fa5fb5bc8dec66742a2d3da687b7215c05000b9a415854f334d61983a5c0,7303182693bedb2f1be491d32d35cee3bfc660d525d79d165d82e1cf95ec2582,d465a4a8b8f005a706cb0be217dd17cfdcff4ee8f562ddf87d6dccd4149fbb4d,0.009919671,0.060062664,0000
8,001a,0003,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,7a38117bbe2a285c50e7fee244faa13d47f44c28e90068639c3c188d1cc788a1,23fc05eea0def96cf03d187b411c54b90b3ba1acee030c7ccd8635bbc02434c2,24efe3416d1503acdf1940868e8c6ca5d919d991d5ef28c3bf3f0cea039dd802,d889fa5fb5bc8dec66742a2d3da687b7215c05000b9a415854f334d61983a5c0,68d79e2e90255b81f260733159cae427ba06bca1a05fe594b4ba60f352a60d8c,b1fb5abdfcf4dab732648be8a1c5510badb3b50a9484d46097cbc2d8102d81ba,0.009916482,0.060074116,0000
9,001a,0003,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,50bcb42334be5f2bfe0ec6686e02acda65c7c162f2e8203b86ff9dfa50487837,23fc05eea0def96cf03d187b411c54b90b3ba1acee030c7ccd8635bbc02434c2,24efe3416d1503acdf1940868e8c6ca5d919d991d5ef28c3bf3f0cea039dd802,d889fa5fb5bc8dec66742a2d3da687b7215c05000b9a415854f334d61983a5c0,07f315be61ae168ee2751a922d34f5356592285b89f25aba2547fd5de358f6fc,7b9a8a8a37c027e4ab9d1844a17a3a3bf3143675526405b65db521c67d3afce7,0.009924837,0.060074717,0000
