id,algorithm,curve,digest,signature_r,signature_s,private_key,public_key_x,public_key_y,nonce_point_x,nonce_point_y,duration,duration_extra,return_code
0,001c,0004,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,483585470d56db33f515d6dffd5939bb188ab1a760ac78476625ca444a088d46,098be4bee1f15eb086e0da02b010f2f5c3deada3249e1063df2bc3340db05d57166de273f91124d61200f8a2295d5ace,6ab5d54cdc02a9153d93213b477bbfcad562d879713e2f3848c836ab38f0ba2eae991adf94eb0fbbbd024c5f972863f3,0750403e9275a657dcc08b0005e879f4926cb5066e49c77de0fa0cb14050092dae3b72a1b844eef9cb17771318e04700,26e8dfd558f4872e8bcd05288d65cdbb24e4594aa53a3a0c712067a43a1518de83a3312ca48b0021eb38582de19433ef,,,0.069903381,0.000000000,0000
1,001c,0004,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,c39d33566e9bef9cf538c8b2149158f0c18c9de33cef65b28171e5a772d218f0,033319cad4bbed960020f02f44d75f3da5e1d83809856d492e7a86f6554c90a0dbe78a9059f1651da682c20ad8c6de15,6ab5d54cdc02a9153d93213b477bbfcad562d879713e2f3848c836ab38f0ba2eae991adf94eb0fbbbd024c5f972863f3,0750403e9275a657dcc08b0005e879f4926cb5066e49c77de0fa0cb14050092dae3b72a1b844eef9cb17771318e04700,26e8dfd558f4872e8bcd05288d65cdbb24e4594aa53a3a0c712067a43a1518de83a3312ca48b0021eb38582de19433ef,,,0.070492041,0.000000000,0000
2,001c,0004,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,8e86e424251d397d5c222ca87d79b9463f54180374598d62a74a52c8148ba479,1eccbc47e4b302817a695d517342b36f38e075c5919bde314da8bab57d44414a808052abf5bce2c7be4131d8de6ceeb6,6ab5d54cdc02a9153d93213b477bbfcad562d879713e2f3848c836ab38f0ba2eae991adf94eb0fbbbd024c5f972863f3,0750403e9275a657dcc08b0005e879f4926cb5066e49c77de0fa0cb14050092dae3b72a1b844eef9cb17771318e04700,26e8dfd558f4872e8bcd05288d65cdbb24e4594aa53a3a0c712067a43a1518de83a3312ca48b0021eb38582de19433ef,,,0.069685734,0.000000000,0000
3,001c,0004,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,78cded1af53fade497e5f115aea036883894214ba8a63e156ce0d8280369ad44,3b89c0e2d7d14b41a5228f2092a31571c59b9b7e26645cb0ea8435c5d62b1afb6740f597187505b73bffe869003781d8,6ab5d54cdc02a9153d93213b477bbfcad562d879713e2f3848c836ab38f0ba2eae991adf94eb0fbbbd024c5f972863f3,0750403e9275a657dcc08b0005e879f4926cb5066e49c77de0fa0cb14050092dae3b72a1b844eef9cb17771318e04700,26e8dfd558f4872e8bcd05288d65cdbb24e4594aa53a3a0c712067a43a1518de83a3312ca48b0021eb38582de19433ef,,,0.069536272,0.000000000,0000
4,001c,0004,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,36688eee6d356b01562baa588d188b8b62fd3a331725baa1c09e8ee6ed1f0e25,6ff2b91527ba86611436bedb4dbaf54eb1391276549849a7cb0d8a971c4fbb4c321b5fa2bc74526c0a88a3ddb176cb2d,6ab5d54cdc02a9153d93213b477bbfcad562d879713e2f3848c836ab38f0ba2eae991adf94eb0fbbbd024c5f972863f3,0750403e9275a657dcc08b0005e879f4926cb5066e49c77de0fa0cb14050092dae3b72a1b844eef9cb17771318e04700,26e8dfd558f4872e8bcd05288d65cdbb24e4594aa53a3a0c712067a43a1518de83a3312ca48b0021eb38582de19433ef,,,0.069866829,0.000000000,0000
5,001c,0004,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,632909a938e0870de16769bddbee2f129cbc42461b14f8d3884ab8335eafef22,1e9d866b4996255a936db66fe1f99b299cf1b353483e665dbe8353da152e4b4f6d79e3fc86e04b1edbd296b12c1be0ff,6ab5d54cdc02a9153d93213b477bbfcad562d879713e2f3848c836ab38f0ba2eae991adf94eb0fbbbd024c5f972863f3,0750403e9275a657dcc08b0005e879f4926cb5066e49c77de0fa0cb14050092dae3b72a1b844eef9cb17771318e04700,26e8dfd558f4872e8bcd05288d65cdbb24e4594aa53a3a0c712067a43a1518de83a3312ca48b0021eb38582de19433ef,,,0.070881648,0.000000000,0000
6,001c,0004,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,981035ee9b3a902bb84d4dc6ee04498413e93411a1083888bfd47c59b5db1ccf,1e5c8a52f8b9eb6d2d797af6a02e946d556e2414d4587f832b4c071fee60e6d6c94cb00bba9a5749e43044702c7e4eef,6ab5d54cdc02a9153d93213b477bbfcad562d879713e2f3848c836ab38f0ba2eae991adf94eb0fbbbd024c5f972863f3,0750403e9275a657dcc08b0005e879f4926cb5066e49c77de0fa0cb14050092dae3b72a1b844eef9cb17771318e04700,26e8dfd558f4872e8bcd05288d65cdbb24e4594aa53a3a0c712067a43a1518de83a3312ca48b0021eb38582de19433ef,,,0.070395843,0.000000000,0000
7,001c,0004,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,f49de7a38cb00414f7376d01cd3de2df229bb36ade75a64e064f39c7c5f26c31,c9f19b275d95e2503d2a9247c34c95e4a5c8290d7857443bb6ff448f2462c0f123d586d599c9ed665bc822d7c7b08d34,6ab5d54cdc02a9153d93213b477bbfcad562d879713e2f3848c836ab38f0ba2eae991adf94eb0fbbbd024c5f972863f3,0750403e9275a657dcc08b0005e879f4926cb5066e49c77de0fa0cb14050092dae3b72a1b844eef9cb17771318e04700,26e8dfd558f4872e8bcd05288d65cdbb24e4594aa53a3a0c712067a43a1518de83a3312ca48b0021eb38582de19433ef,,,0.069593795,0.000000000,0000
8,001c,0004,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,066091687eb6ec20da06c3cdaea6246688d33d78e7978637d97c67483f686b94,f2489f1924bbe4e3f36f436c7d11f58c5654976bfc4e09d9498eb50db1478e53b976392c575bd12b71924aa87a726da1,6ab5d54cdc02a9153d93213b477bbfcad562d879713e2f3848c836ab38f0ba2eae991adf94eb0fbbbd024c5f972863f3,0750403e9275a657dcc08b0005e879f4926cb5066e49c77de0fa0cb14050092dae3b72a1b844eef9cb17771318e04700,26e8dfd558f4872e8bcd05288d65cdbb24e4594aa53a3a0c712067a43a1518de83a3312ca48b0021eb38582de19433ef,,,0.069372768,0.000000000,0000
9,001c,0004,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e1bcc89bdc4100c798ead08db5d3df5ec9da9f9d1936ab7b23dc11daf3308bc4,312d2dfc1ae0188f57fba2233f422ba48147645ffe8c4467973ab4274d2ea6b351b5c261b2e6a779546c51e30e9ca9d7,6ab5d54cdc02a9153d93213b477bbfcad562d879713e2f3848c836ab38f0ba2eae991adf94eb0fbbbd024c5f972863f3,0750403e9275a657dcc08b0005e879f4926cb5066e49c77de0fa0cb14050092dae3b72a1b844eef9cb17771318e04700,26e8dfd558f4872e8bcd05288d65cdbb24e4594aa53a3a0c712067a43a1518de83a3312ca48b0021eb38582de19433ef,,,0.071330457,0.000000000,0000
