id,algorithm,curve,digest,signature_r,signature_s,private_key,public_key_x,public_key_y,nonce_point_x,nonce_point_y,duration,duration_extra,return_code
0,001c,0004,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0000000000000000000000000000000052cf1677f4bf1e14592e41b67295794ba258bafe2e4d50e1c65abede5a5591d2,98e66a502b0c7cbf52dd18c7d340149294df009614dfd35395ac7a99a72a138e0d1fad2c4bfa801873779d4485f08a34,191d374f8878bf5046bf90c883f0741804e67e8fb8e9a96a947b654ba9f74644251c23cd3a6fededf0ec51ca554fab2f,544236eee99c444e22c3bca564d3bde1594d9d4f1d21594bef3e1b49c96604a3a001ddfc535539facae361cc8932f524,8b5be23b9f1ba01707f90d301b9ad1d3cd4de0622807d1c9197b0ceac1d79c7186c335284032fcf379a05144d675628f,,,0.113597526,0.000000000,0000
1,001c,0004,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0000000000000000000000000000000066ada026df46a9fa7f309eb7bc9bfdeae4ee0bcceeae102f0afb2f953c7bab32,55dab9a6da6c65680c78da86485e4611f989314261d37e2e1d197056a2d279a58d1fad83cab6ef3d4d23d012c2b6d002,191d374f8878bf5046bf90c883f0741804e67e8fb8e9a96a947b654ba9f74644251c23cd3a6fededf0ec51ca554fab2f,544236eee99c444e22c3bca564d3bde1594d9d4f1d21594bef3e1b49c96604a3a001ddfc535539facae361cc8932f524,8b5be23b9f1ba01707f90d301b9ad1d3cd4de0622807d1c9197b0ceac1d79c7186c335284032fcf379a05144d675628f,,,0.113993792,0.000000000,0000
2,001c,0004,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,000000000000000000000000000000003b9bab61aa7a05326a8c778d997657a3019974fe81773821f85cf57cfab5f935,13dc05e4773afc0da18466b3d226c5fb2e1eaa2460828569a6d700c7544608516b026832a06f8d2ac857d4600a83f6d0,191d374f8878bf5046bf90c883f0741804e67e8fb8e9a96a947b654ba9f74644251c23cd3a6fededf0ec51ca554fab2f,544236eee99c444e22c3bca564d3bde1594d9d4f1d21594bef3e1b49c96604a3a001ddfc535539facae361cc8932f524,8b5be23b9f1ba01707f90d301b9ad1d3cd4de0622807d1c9197b0ceac1d79c7186c335284032fcf379a05144d675628f,,,0.113993251,0.000000000,0000
3,001c,0004,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0000000000000000000000000000000040c39da7b4bc167870b8b19a880a94b03c7eca4ade55f5a12e1391b5fe224592,a259fd49671adaf7fa5e13e64e929b065ac6b65a4c3335384bdaa2754c1e9a141d3ba5fd896172d58a672897ae5925f6,191d374f8878bf5046bf90c883f0741804e67e8fb8e9a96a947b654ba9f74644251c23cd3a6fededf0ec51ca554fab2f,544236eee99c444e22c3bca564d3bde1594d9d4f1d21594bef3e1b49c96604a3a001ddfc535539facae361cc8932f524,8b5be23b9f1ba01707f90d301b9ad1d3cd4de0622807d1c9197b0ceac1d79c7186c335284032fcf379a05144d675628f,,,0.113994714,0.000000000,0000
4,001c,0004,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,000000000000000000000000000000004f67d7514d35c107fd5b577f01be1adf1dc0d81f3da16dbe7afb3f737dc42f67,fcc80fba1e06fbf8686e7cbe948e602510f4bf014271c0a734ef75833bb6d649b36c1382ea7585b2f8bf99bb2007297c,191d374f8878bf5046bf90c883f0741804e67e8fb8e9a96a947b654ba9f74644251c23cd3a6fededf0ec51ca554fab2f,544236eee99c444e22c3bca564d3bde1594d9d4f1d21594bef3e1b49c96604a3a001ddfc535539facae361cc8932f524,8b5be23b9f1ba01707f90d301b9ad1d3cd4de0622807d1c9197b0ceac1d79c7186c335284032fcf379a05144d675628f,,,0.113993722,0.000000000,0000
5,001c,0004,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,000000000000000000000000000000005e7f41377be443785f323107f100d64e766aad7c6641f7fc23c1d3e3a346e10c,f37e17d0abb3af78bd238062e4a28b3c5fb66d00547448e640674877cdb7134a85e07206511443b6361a9715b7b3622b,191d374f8878bf5046bf90c883f0741804e67e8fb8e9a96a947b654ba9f74644251c23cd3a6fededf0ec51ca554fab2f,544236eee99c444e22c3bca564d3bde1594d9d4f1d21594bef3e1b49c96604a3a001ddfc535539facae361cc8932f524,8b5be23b9f1ba01707f90d301b9ad1d3cd4de0622807d1c9197b0ceac1d79c7186c335284032fcf379a05144d675628f,,,0.113993712,0.000000000,0000
6,001c,0004,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,000000000000000000000000000000005b7a306873be38bfe5910ae84e0f925ec690dbacadb498f36df56c3a9fc51d2b,9893f8eb059fde4f22c294e583744cff0902cd86ac0f51d0ab917fe5c0be54f70fb8b0805e6ac6ce0f0c15d15acae40e,191d374f8878bf5046bf90c883f0741804e67e8fb8e9a96a947b654ba9f74644251c23cd3a6fededf0ec51ca554fab2f,544236eee99c444e22c3bca564d3bde1594d9d4f1d21594bef3e1b49c96604a3a001ddfc535539facae361cc8932f524,8b5be23b9f1ba01707f90d301b9ad1d3cd4de0622807d1c9197b0ceac1d79c7186c335284032fcf379a05144d675628f,,,0.113994944,0.000000000,0000
7,001c,0004,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,00000000000000000000000000000000b89a5e0691a2202f16efebc95479e045362479f23159e99210f87f5dc091631c,d6024deafc7bcc711a86f0b22cb425acc1d952ac4e6d0b3f246424ee870a87ebd1b66138ea89d76e0b4fb31457a5b712,191d374f8878bf5046bf90c883f0741804e67e8fb8e9a96a947b654ba9f74644251c23cd3a6fededf0ec51ca554fab2f,544236eee99c444e22c3bca564d3bde1594d9d4f1d21594bef3e1b49c96604a3a001ddfc535539facae361cc8932f524,8b5be23b9f1ba01707f90d301b9ad1d3cd4de0622807d1c9197b0ceac1d79c7186c335284032fcf379a05144d675628f,,,0.113993382,0.000000000,0000
8,001c,0004,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,00000000000000000000000000000000ed7507d0199160d11c988fc2ea478dd64dd6a7bd55d2f7e6b0ab976ff24a6ca6,8d2bd6f6bcfa2242fced7e721d43b0c3bc5085df47e68e2dcef9ba6d80c75d987701888f9d28f88a01509c778802621b,191d374f8878bf5046bf90c883f0741804e67e8fb8e9a96a947b654ba9f74644251c23cd3a6fededf0ec51ca554fab2f,544236eee99c444e22c3bca564d3bde1594d9d4f1d21594bef3e1b49c96604a3a001ddfc535539facae361cc8932f524,8b5be23b9f1ba01707f90d301b9ad1d3cd4de0622807d1c9197b0ceac1d79c7186c335284032fcf379a05144d675628f,,,0.112991964,0.000000000,0000
9,001c,0004,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,00000000000000000000000000000000838160e3461b62de6449f2173cf318e432e59ab02b46bd1f5ce353697a01b007,17fe509eacaf053cbd730a0a064b16cbb47839b448ed8ab948973e262a1f03007a267d52d696cef551a313731a251a91,191d374f8878bf5046bf90c883f0741804e67e8fb8e9a96a947b654ba9f74644251c23cd3a6fededf0ec51ca554fab2f,544236eee99c444e22c3bca564d3bde1594d9d4f1d21594bef3e1b49c96604a3a001ddfc535539facae361cc8932f524,8b5be23b9f1ba01707f90d301b9ad1d3cd4de0622807d1c9197b0ceac1d79c7186c335284032fcf379a05144d675628f,,,0.113994654,0.000000000,0000
