id,algorithm,curve,digest,signature_r,signature_s,private_key,public_key_x,public_key_y,nonce_point_x,nonce_point_y,duration,duration_extra,return_code
0,001a,0010,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,5bc626f736815d4c69781dfbcfede13b5354866a2771b3aee92680e54b3ea173,5c5cbbff1decb8614286f4ab60087096610407aacc222cb6fd92bdb2e0510cb9,a2262c1ebc87b2aa52d8547838ad6c16f60a59a0a86d055749fc5a9c259fc5a5,99bcd7810bb3bdc18dd32779fa066e13f1515cdd052013cc9f93e79f0ca4d966,db8c4fdd6e6e75021111bd9cf5d265d2a8550b7cd6a297cbdd650e7cb3432783,c960120c41ddb0cef2ee2eb15ab413ff519805cbe5515cf8e62d4c46409fb06c,0e9e74d95336331885e24f86ef7b7594a6b16f3e36cc38ab00ca4b74322782c6,0.012678428,0.084500579,0000
1,001a,0010,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,38bf8d18605a2d9201434dc8b36f002fb20c2467c1a45cc857971837e93a45a4,2445f900ba4a38d53a5acc762c4837e81704eb725cc51c9add3bcc597a4e3377,a2262c1ebc87b2aa52d8547838ad6c16f60a59a0a86d055749fc5a9c259fc5a5,99bcd7810bb3bdc18dd32779fa066e13f1515cdd052013cc9f93e79f0ca4d966,db8c4fdd6e6e75021111bd9cf5d265d2a8550b7cd6a297cbdd650e7cb3432783,d4e7fa4e8218323a464ab9fea3c91754ad9acd8f859969bc5dddc8a56af6e2e8,8ddcde37602b4979582119bc1032910a27e28e7bba8d372abfeec8e3357aac42,0.012676405,0.084315071,0000
2,001a,0010,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,3d26ebdbc2e946dd7fb94d91fe137b64b18b349c7c093f7cdea65a66f76bd1ac,459aff3310fe9a7e1cf7f64ddcec7e6bca23b31c6b348ea943b96b786b57d42e,a2262c1ebc87b2aa52d8547838ad6c16f60a59a0a86d055749fc5a9c259fc5a5,99bcd7810bb3bdc18dd32779fa066e13f1515cdd052013cc9f93e79f0ca4d966,db8c4fdd6e6e75021111bd9cf5d265d2a8550b7cd6a297cbdd650e7cb3432783,17725caf681d3f5940ce43544a33c6de33ac01f7b5f3d7574b06c8c00a2c0920,1950633c2dc9e7208b6a0065aa3f26db4528f9e2dd468d64596d3b72c6e7ff07,0.012682565,0.084316263,0000
3,001a,0010,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,88a43235d9cb4e4899f312e9b757c3434ea8e1a6e660056d67e30f1874b85e1b,1f0035bee25a832d5b0fcf60a9b9011fe616432bff8e7de45449539d3baeb355,a2262c1ebc87b2aa52d8547838ad6c16f60a59a0a86d055749fc5a9c259fc5a5,99bcd7810bb3bdc18dd32779fa066e13f1515cdd052013cc9f93e79f0ca4d966,db8c4fdd6e6e75021111bd9cf5d265d2a8550b7cd6a297cbdd650e7cb3432783,f55d5147774cc78a2ef88c93875cd2afd4130c7d6caffb57ed5f846e1bb8d294,7b87dd0a4ca6b77a928af1610edf7908c97d66acc5fd8b975ee0a0afb02fed75,0.012684909,0.083313159,0000
4,001a,0010,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,1bace5aea8b08b127bab7878fa2fc6e25f32471d912500d4a989ad6610c55de4,468c1a07291317d10ae9dfdb0db0cb579fc1ad34af38230869a2021ff7826d21,a2262c1ebc87b2aa52d8547838ad6c16f60a59a0a86d055749fc5a9c259fc5a5,99bcd7810bb3bdc18dd32779fa066e13f1515cdd052013cc9f93e79f0ca4d966,db8c4fdd6e6e75021111bd9cf5d265d2a8550b7cd6a297cbdd650e7cb3432783,61fa01fa10ebc574ad6f7ee915eadd84f553564b0dadd964d6e45b7aa87c826d,b3092560ce8a7aea2633106e0a030b781161970141dc724966fa733e76627c7d,0.012676686,0.085309001,0000
5,001a,0010,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,3e15ade7c00872484e45c43c1637fa741dccba8943e6d132a6c785c43e0b3710,820c1f2d91df235665692ec34eddf8dc40acadad4de0144e3e960be34c94b21c,a2262c1ebc87b2aa52d8547838ad6c16f60a59a0a86d055749fc5a9c259fc5a5,99bcd7810bb3bdc18dd32779fa066e13f1515cdd052013cc9f93e79f0ca4d966,db8c4fdd6e6e75021111bd9cf5d265d2a8550b7cd6a297cbdd650e7cb3432783,927b35c6be7932b6617c39364316ba94522907155a78ae1189ee950c817cd8be,fb406d4b4c96b41ef75653a4252b2e4608046f95c6a11b826cab5970169b54be,0.012676806,0.084317665,0000
6,001a,0010,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,4c6c685cd7cbe0cadd5e360984373bf141e54ca8b0c156776c9dbb6706d31361,0215dc4696dde4c1680067d7d7c1233e777f16e7c84ee0ea05bb8176f077b4a9,a2262c1ebc87b2aa52d8547838ad6c16f60a59a0a86d055749fc5a9c259fc5a5,99bcd7810bb3bdc18dd32779fa066e13f1515cdd052013cc9f93e79f0ca4d966,db8c4fdd6e6e75021111bd9cf5d265d2a8550b7cd6a297cbdd650e7cb3432783,f0cc51c01384f9e9bfeff7f7e7390888dd2acbf404ddb263003f095a8925ff8c,3c80f0c048d5c691c17095b651154c8cde004bed1e5e5c5e3379822cd2235fd7,0.012679029,0.084317504,0000
7,001a,0010,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e9c7a8fde79b878a1d81bafd671388dfba2727af3df77b10c04d2947d65f2bed,75aab89f0efd468d0222334061d96f702a22431914cdd84131d30ffd5b3de023,a2262c1ebc87b2aa52d8547838ad6c16f60a59a0a86d055749fc5a9c259fc5a5,99bcd7810bb3bdc18dd32779fa066e13f1515cdd052013cc9f93e79f0ca4d966,db8c4fdd6e6e75021111bd9cf5d265d2a8550b7cd6a297cbdd650e7cb3432783,0e1a31e98ba98f3d75abb54fa0979b3f7e9c668772a4b4d84c950aab7a792a6e,35df07a7ead9d8e6317778f4fee1377c59c0b9f932b1f67c90fdad1dc21b3152,0.012676135,0.084314851,0000
8,001a,0010,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e1da2462803a50ec95d8f284906fff426e4a93d3773a7b82605afb7d4627ac33,dc03a0fcbec433f15d6f3d393f2da377045b8554b1eb65e0fcc6154f29b86bac,a2262c1ebc87b2aa52d8547838ad6c16f60a59a0a86d055749fc5a9c259fc5a5,99bcd7810bb3bdc18dd32779fa066e13f1515cdd052013cc9f93e79f0ca4d966,db8c4fdd6e6e75021111bd9cf5d265d2a8550b7cd6a297cbdd650e7cb3432783,cb502309e0eda0b74ef8e2276b64456e3cec45e116602ee642c2f0894455f309,83d6270f044ddb1ab505d398617ff53d4fa997dcfa443432a5811cf5fad9c2c9,0.012673721,0.085317354,0000
9,001a,0010,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e8315f044808065e44a9344ed3a1c2345042e6f23a36180ce4962dee50e696e3,09e178208edf1cd6299dc8878969452ec7db9897ab3e96ef98315d8024823d63,a2262c1ebc87b2aa52d8547838ad6c16f60a59a0a86d055749fc5a9c259fc5a5,99bcd7810bb3bdc18dd32779fa066e13f1515cdd052013cc9f93e79f0ca4d966,db8c4fdd6e6e75021111bd9cf5d265d2a8550b7cd6a297cbdd650e7cb3432783,c368c314c9e2981292f7d8a2f99d5c4e331de2a3173a4457aa5e3d5330414188,85e90c300d84ca8b936dfa7a517c8252f7324025c6cb34003a6cb95561c85515,0.012686901,0.084321350,0000
